date	time	subject	trialcode	trialnum	latency	response
041612	10:44	547854075843	speed	1	1913	0
041612	10:47	45678456	speed	1	5608	55
041612	10:47	45678456	error	2	6025	85
041612	10:47	45678456	whichhand	3	5407	left
041612	10:47	45678456	19kind	1	11496	8
041612	10:47	45678456	5alak	2	837	7
041612	10:47	45678456	11kiy	3	2999	5
041612	10:47	45678456	1mobe	4	6127	0
041612	10:51	457845	speed	1	1286	0
041612	10:51	457845	11hiol	1	13394	2
041612	10:51	457845	9dafe	2	1737	5
041612	10:51	457845	4pame	3	1022	7
041612	10:51	457845	16foam	4	1008	4
041612	10:51	457845	14heal	5	1099	9
041612	10:51	457845	10hilp	6	2723	7
041612	10:51	457845	11poom	7	952	2
041612	10:51	457845	22hop	8	1173	7
041612	10:51	457845	21debt	9	2199	0
