1yote	yote
1jote	jote
1mobe	mobe
1yove	yove
1yoze	yoze
2zote	zote
2zofe	zofe
2pabe	pabe
2zoge	zoge
2yage	yage
3yeem	yeem
3zape	zape
3tofe	tofe
3jeet	jeet
3vofe	vofe
4slek	slek
4spak	spak
4pame	pame
4peks	peks
4yape	yape
5lale	lale
5rocl	rocl
5rorp	rorp
5mepe	mepe
5alak	alak
6fope	fope
6pome	pome
6zoke	zoke
6zope	zope
6yope	yope
7zood	zood
7toog	toog
7yoob	yoob
7noof	noof
7doof	doof
8resz	resz
8saf	saf
8zet	zet
8zers	zers
8faw	faw
9zade	zade
9dafe	dafe
9tafe	tafe
9zeeg	zeeg
9zeef	zeef
10hilp	hilp
10joi	joi
10hok	hok
10kop	kop
10mok	mok
11kiy	kiy
11poom	poom
11yoon	yoon
11hiol	hiol
11yoom	yoom
12balm	balm
12balk	balk
12pore	pore
12slit	slit
12rain	rain
13kids	kids
13scum	scum
13grin	grin
13kiss	kiss
13nice	nice
14game	game
14mad	mad
14pet	pet
14heal	heal
14hat	hat
15farm	farm
15dirt	dirt
15rude	rude
15idea	idea
15part	part
16lamb	lamb
16city	city
16foam	foam
16cozy	cozy
16rock	rock
17man	man
17hand	hand
17burn	burn
17sick	sick
17fur	fur
18lamp	lamp
18joke	joke
18hit	hit
18boy	boy
18wine	wine
19foul	foul
19shy	shy
19chin	chin
19mind	mind
19kind	kind
20save	save
20car	car
20cat	cat
20safe	safe
20war	war
21rat	rat
21face	face
21vest	vest
21debt	debt
21ace	ace
22pin	pin
22hop	hop
22mop	mop
22hip	hip
22limp	limp
23joy	joy
23kin	kin
23nun	nun
23milk	milk
23ill	ill
24deho	deho
24olra	olra
24loac	loac
24frol	frol
24edop	edop
