1nobe	nobe
1yofe	yofe
1nofe	nofe
1jobe	jobe
1pobe	pobe
2mafe	mafe
2kabe	kabe
2yate	yate
2jabe	jabe
2vape	vape
3meef	meef
3neeb	neeb
3tove	tove
3leel	leel
3yeet	yeet
4peka	peka
4melb	melb
4pems	pems
4woem	woem
4alfi	alfi
5yane	yane
5jame	jame
5yame	yame
5tutk	tutk
5anay	anay
6clim	clim
6voke	voke
6dlip	dlip
6slin	slin
6flin	flin
7foof	foof
7soog	soog
7voop	voop
7soob	soob
7voom	voom
8dax	dax
8taxe	taxe
8waf	waf
8wac	wac
8tez	tez
9veed	veed
9zabe	zabe
9beeg	beeg
9zafe	zafe
9tage	tage
10lim	lim
10nop	nop
10hil	hil
10plin	plin
10pluk 	pluk 
11yoop	yoop
11lik	lik
11nilo	nilo
11lool	lool
11joom	joom
12liar	liar
12life	life
12lust	lust
12more	more
12lids	lids
13lice	lice
13army	army
13cell	cell
13hide	hide
13nude	nude
14wife	wife
14arm	arm
14obey	obey
14pest	pest
14dawn	dawn
15bath	bath
15cute	cute
15wasp	wasp
15frog	frog
15baby	baby
16air	air
16slap	slap
16lake	lake
16cow	cow
16fish	fish
17bowl	bowl
17girl	girl
17hay	hay
17wish	wish
17name	name
18win	win
18snob	snob
18song	song
18sour	sour
18blue	blue
19cold	cold
19ugly	ugly
19sun	sun
19silk	silk
19tomb	tomb
20zest	zest
20eat	eat
20scar	scar
20sad	sad
20seat	seat
21bees	bees
21star	star
21fat	fat
21bed	bed
21fear	fear
22pom	pom
22yip	yip
22nip	nip
22jip	jip
22lip	lip
23mom	mom
23noon	noon
23pill	pill
23lump	lump
23lion	lion
24jufe	jufe
24nuad	nuad
24aqil	aqil
24kige	kige
24celm	celm
