date	time	subject	trialcode	trialnum	latency	response
092412	11:59	456456	speed	1	5154	30
092412	11:59	456456	error	2	4412	100
092412	11:59	456456	whichhand	3	19514	left
092412	11:59	456456	1.2.lale	1	5407	9
092412	11:59	456456	2.6.milk	2	1008	5
092412	11:59	456456	2.3.time	3	1566	6
092412	11:59	456456	2.6.kin	4	3189	0
092512	13:55	56	speed	1	18483	36
092512	13:55	56	error	2	7740	94
092512	13:55	56	whichhand	3	10246	right
092512	13:55	56	1.4.voom	1	10843	6
092512	13:55	56	2.5.boy	2	6890	9
092512	13:55	56	2.2.cell	3	7471	5
092512	13:55	56	2.3.name	4	1780	7
092512	13:55	56	1.6.nilo	5	3155	5
092512	13:55	56	1.6.joi	6	3324	1
092512	13:55	56	2.1.fun	7	2054	9
092512	13:55	56	2.6.milk	8	2323	5
092512	13:55	56	1.4.foob	9	2836	2
092512	13:55	56	1.1.ryng	10	1970	2
092512	13:55	56	2.1.guy	11	1281	9
092512	13:55	56	1.2.zoke	12	2180	6
092512	13:55	56	2.4.moon	13	4155	7
092512	13:55	56	2.1.rug	14	1684	4
092512	13:55	56	1.4.boog	15	1495	5
092512	13:55	56	1.2.zake	16	1914	6
092512	13:55	56	2.1.bug	17	3180	1
092512	13:55	56	2.6.mask	18	1491	5
092512	13:55	56	2.1.thy	19	1558	3
092512	13:55	56	1.4.moob	20	2774	4
092512	13:55	56	1.3.jafe	21	1342	4
092512	13:55	56	2.1.thus	22	1631	3
092512	13:55	56	1.3.yave	23	4107	5
092512	13:55	56	1.1.nuv	24	2702	2
092512	13:55	56	1.5.yeb	25	1977	5
092512	13:55	56	2.6.cat	26	7632	3
092512	13:55	56	2.3.knot	27	3119	5
092512	13:55	56	2.6.slit	28	2946	5
092512	13:55	56	2.2.cake	29	2186	8
092512	13:55	56	1.2.leel	30	3129	5
092512	13:55	56	1.5.jaj	31	2019	5
092512	13:55	56	1.1.bryg	32	1817	1
092512	13:55	56	2.5.bomb	33	1686	1
092512	13:55	56	2.6.dog	34	1489	9
092512	13:55	56	1.4.teef	35	3132	3
092512	13:55	56	1.3.tove	36	1485	3
092512	13:55	56	1.6.zote	37	1800	4
092512	13:55	56	1.6.kabe	38	4246	5
092512	13:55	56	1.2.zape	39	2779	6
092512	13:55	56	2.2.lop	40	4434	5
092512	13:55	56	2.3.hate	41	1768	1
092512	13:55	56	1.4.yoof	42	1568	3
092512	13:55	56	1.5.fuw	43	3999	2
092512	13:55	56	1.1.mur	44	1326	2
092512	13:55	56	1.4.toof	45	848	2
092512	13:55	56	2.2.dead	46	1371	1
092512	13:55	56	1.3.yane	47	1404	3
092512	13:55	56	2.3.obey	48	2345	6
092512	13:55	56	1.4.yeeb	49	1938	3
092512	13:55	56	2.5.bus	50	1747	6
092512	13:55	56	1.6.soog	51	1627	3
092512	13:55	56	2.5.bar	52	1337	1
092512	13:55	56	1.1.vun	53	1210	2
092512	13:55	56	2.4.lump	54	1632	1
092512	13:55	56	1.2.lalo	55	2189	6
092512	13:55	56	2.4.foam	56	2172	8
092512	13:55	56	1.3.mobe	57	1347	3
092512	13:55	56	2.4.body	58	3620	4
092512	13:55	56	1.2.xad	59	1658	3
092512	13:55	56	2.5.non	60	1334	3
092512	13:55	56	1.3.anay	61	1294	3
092512	13:55	56	2.3.hard	62	2449	4
092512	13:55	56	1.2.likk	63	3077	5
092512	13:55	56	1.1.fryn	64	3146	4
092512	13:55	56	2.2.slid	65	4426	6
092512	13:55	56	2.3.yore	66	1841	4
092512	13:55	56	1.4.noof	67	3022	5
092512	13:55	56	2.4.tidy	68	1852	7
092512	13:55	56	2.1.but	69	2577	2
092512	13:55	56	1.5.zyr	70	2216	3
092512	13:55	56	2.6.dark	71	2182	7
092512	13:55	56	2.2.slow	72	1397	5
092512	13:55	56	2.6.kin	73	3755	4
092512	13:55	56	1.2.zeed	74	1676	3
092512	13:55	56	2.2.lids	75	2144	2
092512	13:55	56	1.5.vaf	76	2337	3
092512	13:55	56	1.1.gub	77	1242	3
092512	13:55	56	1.6.vape	78	4710	4
092512	13:55	56	2.5.fat	79	1634	1
092512	13:55	56	1.5.feg	80	4287	3
092512	13:55	56	2.5.art	81	1859	8
092512	13:55	56	2.3.blue	82	1567	9
092512	13:55	56	2.5.unit	83	2294	5
092512	13:55	56	2.2.leap	84	1569	9
092512	13:55	56	2.6.scar	85	1969	2
092512	13:55	56	1.2.dax	86	1625	3
092512	13:55	56	1.2.lale	87	1542	5
092512	13:55	56	2.3.time	88	1831	8
092512	13:55	56	2.5.arm	89	2036	6
092512	13:55	56	1.3.tage	90	1505	3
092512	13:55	56	2.2.sex	91	6115	5
092512	13:55	56	2.6.pain	92	2406	1
092512	13:55	56	1.6.celm	93	2005	3
092512	13:55	56	2.4.free	94	1611	9
092512	13:55	56	1.3.yome	95	1969	4
092512	13:55	56	2.6.evil	96	1473	1
092512	13:55	56	2.5.grin	97	11148	9
092512	13:55	56	2.3.star	98	1232	9
092512	13:55	56	2.1.buy	99	8028	9
092512	13:55	56	2.4.flag	100	1059	9
092512	13:55	56	1.5.jufe	101	2584	3
092512	13:55	56	2.3.more	102	1991	6
092512	13:55	56	1.6.vook	103	2158	3
092512	13:55	56	2.1.fur	104	2422	8
092512	13:55	56	1.4.moof	105	1420	5
092512	13:55	56	1.3.jofe	106	1617	3
092512	13:55	56	1.5.syg	107	1159	3
092512	13:55	56	1.1.vuy	108	1199	1
092512	13:55	56	2.4.nude	109	4837	2
092512	13:55	56	2.4.dump	110	1683	1
092512	13:55	56	1.1.guf	111	3838	2
092512	13:55	56	2.2.sick	112	1779	1
092512	13:55	56	2.1.rut	113	8747	3
092512	13:55	56	1.6.lim	114	2357	2
092512	13:55	56	1.5.bih	115	1285	2
092512	13:55	56	1.6.dofe	116	1256	3
092512	13:55	56	1.5.tutk	117	1100	3
092512	13:55	56	1.1.ghun	118	1286	1
092512	13:55	56	2.4.part	119	2697	5
092512	13:55	56	1.3.vabe	120	1300	5
092512	14:11	45	speed	1	4408	33
092512	14:11	45	error	2	3863	96
092512	14:11	45	whichhand	3	6504	right
092512	14:11	45	1.4.moof	1	6168	5
092512	14:11	45	2.4.moon	2	6473	7
092512	14:11	45	2.2.sick	3	3366	1
092512	14:11	45	1.5.feg	4	6934	2
092512	14:11	45	2.1.buy	5	3081	5
092512	14:11	45	1.5.yeb	6	3828	5
092512	14:11	45	1.3.yome	7	4434	5
092512	14:11	45	2.5.grin	8	1743	9
092512	14:11	45	2.3.name	9	2920	9
092512	14:11	45	1.5.zyr	10	27178	2
092512	14:11	45	2.2.slid	11	3073	5
092512	14:11	45	1.6.kabe	12	3406	7
092512	14:11	45	1.3.yave	13	3589	6
092512	14:11	45	2.5.boy	14	3332	7
092512	14:11	45	2.3.hard	15	1902	1
092512	14:11	45	2.1.rut	16	1920	1
092512	14:11	45	1.6.joi	17	1906	9
092512	14:11	45	2.6.milk	18	1684	9
092512	14:11	45	1.6.celm	19	7007	7
092512	14:11	45	2.2.leap	20	1926	7
092512	14:11	45	2.3.knot	21	4472	4
092512	14:11	45	2.2.lop	22	2565	4
092512	14:11	45	2.5.non	23	1861	2
092512	14:11	45	2.3.star	24	1985	9
092512	14:11	45	1.2.leel	25	3056	6
092512	14:11	45	1.2.lalo	26	2397	8
092512	14:11	45	1.2.zake	27	2083	7
092512	14:11	45	2.2.cell	28	1974	9
092512	14:11	45	1.1.mur	29	4382	8
092512	14:11	45	1.5.bih	30	3237	6
092512	14:11	45	1.5.jaj	31	2819	3
092512	14:11	45	2.1.guy	32	3929	6
092512	14:11	45	1.1.ghun	33	2579	1
092512	14:11	45	2.1.but	34	2426	4
092512	14:11	45	1.3.yane	35	4631	7
092512	14:11	45	1.4.voom	36	2933	1
092512	14:11	45	2.6.slit	37	1991	1
092512	14:11	45	1.1.fryn	38	1934	1
092512	14:11	45	1.5.fuw	39	2303	9
092512	14:11	45	2.1.fun	40	1353	9
092512	14:11	45	2.3.hate	41	1321	1
092512	14:11	45	1.4.foob	42	4291	7
092512	14:11	45	2.4.dump	43	1447	1
092512	14:11	45	2.3.time	44	3675	9
092512	14:11	45	1.4.yeeb	45	4255	3
092512	14:11	45	2.6.evil	46	1404	1
092512	14:11	45	2.1.bug	47	1811	4
092512	14:11	45	2.5.bar	48	2744	5
092512	14:11	45	2.6.dark	49	1673	1
092512	14:11	45	1.3.jafe	50	1973	9
092512	14:11	45	1.4.boog	51	2845	6
092512	14:11	45	1.1.vuy	52	2994	5
092512	14:11	45	1.6.lim	53	2490	8
092512	14:11	45	2.1.thus	54	3916	7
092512	14:11	45	1.2.lale	55	2911	5
092512	14:11	45	1.1.guf	56	3473	7
092512	14:11	45	2.5.art	57	1310	9
092512	14:11	45	1.3.mobe	58	3920	3
092512	14:11	45	1.3.vabe	59	2018	5
