r.sex	sex
r.car	car
r.bed	bed
r.eat	eat
r.ace	ace
r.art	art
r.bar	bar
r.red	red
r.cat	cat
r.egg	egg
r.rat	rat
r.fat	fat
r.war	war
r.sad	sad
r.arm	arm
r.god	god
r.dog	dog
r.wit	wit
r.air	air
r.cow	cow
r.bus	bus
r.fur	fur
r.cut	cut
r.win	win
r.fun	fun
r.sun	sun
r.sky	sky
r.toy	toy
r.boy	boy
r.shy	shy
r.gun	gun
r.sin	sin
r.pet	pet
r.hat	hat
r.odd	odd
r.mad	mad
r.man	man
r.owl	owl
r.key	key
r.hay	hay
r.hug	hug
r.pie	pie
r.jug	jug
r.pig	pig
r.hit	hit
r.pus	pus
r.lie	lie
r.joy	joy
r.ink	ink
r.nun	nun
r.free	free
r.star	star
r.safe	safe
r.zest	zest
r.awed	awed
r.save	save
r.face	face
r.tree	tree
r.vest	vest
r.seat	seat
r.scar	scar
r.bees	bees
r.fear	fear
r.rage	rage
r.debt	debt
r.dead	dead
r.cash	cash
r.baby	baby
r.sexy	sexy
r.bath	bath
r.easy	easy
r.dawn	dawn
r.farm	farm
r.taxi	taxi
r.dark	dark
r.wasp	wasp
r.fame	fame
r.cake	cake
r.game	game
r.bake	bake
r.frog	frog
r.cane	cane
r.ache	ache
r.rape	rape
r.grin	grin
r.tank	tank
r.rain	rain
r.army	army
r.fall	fall
r.cell	cell
r.evil	evil
r.scum	scum
r.gift	gift
r.cute	cute
r.wise	wise
r.bird	bird
r.soft	soft
r.dove	dove
r.wife	wife
r.flag	flag
r.cord	cord
r.dirt	dirt
r.fire	fire
r.rude	rude
r.cozy	cozy
r.wish	wish
r.girl	girl
r.tidy	tidy
r.foam	foam
r.fish	fish
r.city	city
r.rock	rock
r.body	body
r.bowl	bowl
r.fork	fork
r.cork	cork
r.slap	slap
r.burn	burn
r.sick	sick
r.food	food
r.gold	gold
r.good	good
r.song	song
r.snow	snow
r.tune	tune
r.bold	bold
r.blue	blue
r.wine	wine
r.time	time
r.door	door
r.foot	foot
r.cold	cold
r.slow	slow
r.sour	sour
r.snob	snob
r.riot	riot
r.tomb	tomb
r.bomb	bomb
r.wink	wink
r.silk	silk
r.cook	cook
r.doll	doll
r.coin	coin
r.book	book
r.ship	ship
r.chin	chin
r.tool	tool
r.dump	dump
r.foul	foul
r.slum	slum
r.idea	idea
r.news	news
r.hard	hard
r.part	part
r.pest	pest
r.hate	hate
r.heal	heal
r.hawk	hawk
r.item	item
r.lawn	lawn
r.obey	obey
r.lazy	lazy
r.meek	meek
r.lake	lake
r.hand	hand
r.lamb	lamb
r.name	name
r.mail	mail
r.idol	idol
r.lamp	lamp
r.iron	iron
r.ugly	ugly
r.hell	hell
r.pain	pain
r.jail	jail
r.love	love
r.kiss	kiss
r.life	life
r.lust	lust
r.kids	kids
r.nude	nude
r.nice	nice
r.hide	hide
r.lost	lost
r.lice	lice
r.hurt	hurt
r.kick	kick
r.pity	pity
r.joke	joke
r.home	home
r.kind	kind
r.king	king
r.hope	hope
r.mind	mind
r.unit	unit
r.knot	knot
r.mold	mold
r.milk	milk
r.lion	lion
r.lump	lump
r.treat	treat
r.brave	brave
r.greet	greet
r.taste	taste
r.water	water
r.dress	dress
r.grass	grass
r.tease	tease
r.beast	beast
r.greed	greed
r.waste	waste
r.fever	fever
r.beach	beach
r.earth	earth
r.dream	dream
r.green	green
r.watch	watch
r.weary	weary
r.trash	trash
r.crash	crash
r.death	death
r.favor	favor
r.event	event
r.table	table
r.razor	razor
r.germs	germs
r.fraud	fraud
r.radio	radio
r.wagon	wagon
r.swamp	swamp
r.devil	devil
r.bride	bride
r.trust	trust
r.swift	swift
r.salad	salad
r.stove	stove
r.stiff	stiff
r.tense	tense
r.FALSE	FALSE
r.crude	crude
r.abuse	abuse
r.grief	grief
r.truth	truth
r.crown	crown
r.candy	candy
r.truck	truck
r.storm	storm
r.bench	bench
r.scorn	scorn
r.cruel	cruel
r.drown	drown
r.adult	adult
r.saint	saint
r.fault	fault
r.grime	grime
r.gripe	gripe
r.crime	crime
r.trunk	trunk
r.stool	stool
r.stink	stink
r.venom	venom
r.agony	agony
r.demon	demon
r.cheer	cheer
r.bless	bless
r.river	river
r.space	space
r.sugar	sugar
r.diver	diver
r.alert	alert
r.coast	coast
r.boxer	boxer
r.tower	tower
r.quart	quart
r.blase	blase
r.board	board
r.glass	glass
r.bored	bored
