date	time	subject	trialcode	trialnum	latency	response
110112	13:11	54687	speed	1	4296	26
110112	13:11	54687	error	2	4775	96%
110112	13:11	54687	whichhand	3	22510	right_left 
110112	13:11	54687	1.6.vape	1	9243	1
110112	13:11	54687	1.5.syg	2	7985	2
110112	13:11	54687	2.3.time	3	8761	5
110112	13:11	54687	1.5.feg	4	5610	6
110112	13:11	54687	1.1.fryn	5	2896	1
110112	13:11	54687	2.2.sex	6	3122	8
110112	13:11	54687	2.1.rug	7	2148	9
110112	13:11	54687	2.6.dark	8	2859	6
110112	13:11	54687	1.4.noof	9	1991	6
110112	13:11	54687	1.6.soog	10	2126	3
110112	13:11	54687	2.4.flag	11	1951	5
110112	13:11	54687	2.6.evil	12	1110	5
110112	13:11	54687	2.4.tidy	13	1024	6
110112	13:11	54687	1.1.vuy	14	6660	2
110112	13:11	54687	2.3.star	15	1233	9
110112	13:11	54687	2.3.knot	16	2549	4
110112	13:11	54687	1.2.zape	17	3205	1
110112	13:11	54687	1.6.lim	18	1346	6
110112	13:11	54687	1.5.jufe	19	1114	5
110112	13:11	54687	1.4.foob	20	1811	8
110112	13:11	54687	1.3.mobe	21	1152	6
110112	13:11	54687	1.5.fuw	22	1224	5
110112	13:11	54687	1.4.yoof	23	1101	5
110112	13:11	54687	1.4.voom	24	1558	5
110112	13:11	54687	1.5.zyr	25	1869	3
110112	13:11	54687	2.2.sick	26	1784	9
110112	13:11	54687	2.3.hard	27	1630	9
110112	13:11	54687	1.2.dax	28	1187	9
110112	13:11	54687	1.4.boog	29	1201	6
110112	13:11	54687	2.6.milk	30	1110	9
110112	13:11	54687	1.1.nuv	31	1816	5
110112	13:11	54687	1.6.nilo	32	613	6
110112	13:11	54687	2.1.bug	33	1088	4
110112	13:11	54687	2.2.slid	34	1267	5
110112	13:11	54687	2.1.fun	35	862	6
110112	13:11	54687	1.6.dofe	36	1072	7
110112	13:11	54687	2.2.lop	37	1379	4
110112	13:11	54687	2.1.thus	38	825	5
110112	13:11	54687	2.6.mask	39	902	6
110112	13:11	54687	1.1.bryg	40	1143	7
110112	13:11	54687	2.1.guy	41	911	5
110112	13:11	54687	1.4.yeeb	42	801	6
110112	13:11	54687	1.6.zote	43	614	6
110112	13:11	54687	1.5.bih	44	850	6
110112	13:11	54687	1.1.ryng	45	1014	7
110112	13:11	54687	2.3.more	46	1410	9
110112	13:11	54687	2.1.fur	47	1344	9
110112	13:11	54687	2.5.bomb	48	440	9
110112	13:11	54687	2.5.bar	49	1388	8
110112	13:11	54687	1.5.jaj	50	1098	9
110112	13:11	54687	1.6.kabe	51	955	9
110112	13:11	54687	1.3.yave	52	954	9
110112	13:11	54687	1.2.zoke	53	714	9
110112	13:11	54687	1.6.joi	54	1274	5
110112	13:11	54687	1.3.vabe	55	1045	4
110112	13:11	54687	1.3.anay	56	1032	3
110112	13:11	54687	1.3.jafe	57	996	7
110112	13:11	54687	1.2.likk	58	3026	7
110112	13:11	54687	1.5.vaf	59	1103	5
110112	13:11	54687	2.4.body	60	448	5
110112	13:11	54687	2.1.rut	61	1379	8
110112	13:11	54687	1.1.mur	62	1129	6
110112	13:11	54687	1.5.yeb	63	601	6
110112	13:11	54687	2.5.unit	64	1526	5
110112	13:11	54687	2.6.cat	65	743	8
110112	13:11	54687	1.6.celm	66	1463	9
110112	13:11	54687	2.5.boy	67	906	9
110112	13:11	54687	1.2.lalo	68	1131	4
110112	13:11	54687	1.4.teef	69	3995	4
110112	13:11	54687	1.5.tutk	70	1377	5
110112	13:11	54687	1.2.lale	71	1104	6
110112	13:11	54687	2.5.art	72	849	6
110112	13:11	54687	2.3.obey	73	1157	7
110112	13:11	54687	1.1.ghun	74	1076	8
110112	13:11	54687	2.5.non	75	903	9
110112	13:11	54687	2.4.part	76	1232	9
110112	13:11	54687	2.2.dead	77	468	9
110112	13:11	54687	2.2.leap	78	1342	5
110112	13:11	54687	2.3.yore	79	847	4
110112	13:11	54687	1.1.guf	80	666	9
110112	13:11	54687	1.3.jofe	81	748	9
110112	13:11	54687	2.4.nude	82	1092	9
110112	13:11	54687	2.1.buy	83	1878	9
110112	13:11	54687	1.4.toof	84	2953	4
110112	13:11	54687	2.5.bus	85	4505	4
110112	13:11	54687	2.2.slow	86	2123	6
110112	13:11	54687	1.4.moob	87	459	6
110112	13:11	54687	2.4.moon	88	4519	7
110112	13:11	54687	1.3.tage	89	4337	7
110112	13:11	54687	2.6.pain	90	3402	7
110112	13:11	54687	2.4.foam	91	1584	5
110112	13:11	54687	2.1.thy	92	1575	4
110112	13:11	54687	2.6.kin	93	1501	5
110112	13:11	54687	2.5.grin	94	1263	9
110112	13:11	54687	2.6.dog	95	794	5
110112	13:11	54687	2.3.name	96	2263	7
110112	13:11	54687	1.3.yome	97	1906	8
110112	13:11	54687	1.6.vook	98	1348	9
110112	13:11	54687	2.1.but	99	771	6
110112	13:11	54687	2.2.cell	100	1698	9
110112	13:11	54687	2.4.free	101	1356	5
110112	13:11	54687	1.1.gub	102	2667	4
110112	13:11	54687	1.4.moof	103	2766	6
110112	13:11	54687	2.6.slit	104	494	6
110112	13:11	54687	2.4.lump	105	278	6
110112	13:11	54687	2.5.fat	106	1329	5
110112	13:11	54687	1.1.vun	107	1305	7
110112	13:11	54687	2.5.arm	108	1883	9
110112	13:11	54687	1.2.leel	109	3125	4
110112	13:11	54687	1.3.yane	110	1358	1
110112	13:11	54687	2.4.dump	111	806	2
110112	13:11	54687	2.2.cake	112	1123	3
110112	13:11	54687	1.3.tove	113	4180	3
110112	13:11	54687	1.2.xad	114	2251	1
110112	13:11	54687	2.6.scar	115	1198	5
110112	13:11	54687	2.3.hate	116	1356	6
110112	13:11	54687	1.2.zeed	117	907	7
110112	13:11	54687	1.2.zake	118	1692	7
110112	13:11	54687	2.2.lids	119	983	7
110112	13:11	54687	2.3.blue	120	1269	4
110112	14:23	2114788	speed	1	2729	39
110112	14:23	2114788	error	2	4156	89%
110112	14:23	2114788	whichhand	3	13229	Left
110112	14:23	2114788	1.3.jofe	1	7288	5
110112	14:23	2114788	1.2.xad	2	2772	5
110112	14:23	2114788	2.6.slit	3	2844	4
