date	time	subject	trialcode	trialnum	latency	response
102912	13:12	54	speed	1	3019	48
102912	13:12	54	error	2	2779	97
102912	13:12	54	whichhand	3	5478	right
102912	13:12	54	1.4.boog	1	13551	6
102912	13:12	54	2.4.nude	2	7202	7
102912	13:12	54	2.2.lop	3	4154	5
102912	13:12	54	2.3.more	4	8258	7
102912	13:12	54	1.6.zote	5	4488	8
102912	13:12	54	2.6.pain	6	3011	2
102912	13:12	54	2.5.arm	7	2217	5
102912	13:12	54	1.6.vook	8	2326	5
102912	13:12	54	1.5.zyr	9	2263	6
102912	13:12	54	2.5.bar	10	1986	8
102912	13:12	54	2.6.mask	11	2440	7
102912	13:12	54	2.4.free	12	2229	9
102912	13:12	54	1.1.fryn	13	3641	6
102912	13:12	54	1.6.dofe	14	3214	5
102912	13:12	54	2.6.scar	15	2228	4
102912	13:12	54	1.1.vuy	16	2369	5
102912	13:12	54	1.3.jafe	17	1935	6
102912	13:12	54	2.2.cell	18	3448	3
102912	13:12	54	2.3.hate	19	2300	1
102912	13:12	54	1.4.moob	20	1902	5
102912	13:12	54	2.2.leap	21	1688	7
102912	13:12	54	1.3.anay	22	2458	6
102912	13:12	54	1.4.noof	23	3806	6
102912	13:12	54	1.6.joi	24	3492	7
102912	13:12	54	1.4.foob	25	2670	6
102912	13:12	54	1.4.yoof	26	6450	7
102912	13:12	54	2.6.dark	27	2359	3
102912	13:12	54	1.4.voom	28	2479	7
102912	13:12	54	1.4.moof	29	2801	5
102912	13:12	54	2.1.fun	30	1663	9
102912	13:12	54	1.5.vaf	31	1738	5
102912	13:12	54	2.3.name	32	1834	8
102912	13:12	54	2.5.unit	33	2230	7
102912	13:12	54	2.5.art	34	2075	8
102912	13:12	54	1.3.yane	35	2606	6
102912	13:12	54	1.5.bih	36	3236	5
102912	13:12	54	1.2.xad	37	3977	4
102912	13:12	54	2.2.dead	38	5240	1
102912	13:12	54	2.2.cake	39	1830	9
102912	13:12	54	2.6.milk	40	1426	9
102912	13:12	54	2.3.obey	41	2343	3
102912	13:12	54	1.4.teef	42	3143	6
102912	13:12	54	1.2.zake	43	3728	7
102912	13:12	54	1.6.vape	44	2033	5
102912	13:12	54	2.1.fur	45	3045	6
102912	13:12	54	2.1.rug	46	2209	7
102912	13:12	54	2.4.lump	47	2151	3
102912	13:12	54	2.6.cat	48	2239	2
102912	13:12	54	2.2.sex	49	2403	9
102912	13:12	54	2.5.fat	50	1809	1
102912	13:12	54	1.2.zoke	51	2463	6
102912	13:12	54	2.2.slow	52	4010	6
102912	13:12	54	1.4.toof	53	2824	7
