date	time	subject	trialcode	trialnum	latency	response
041513	10:01	546	speed	1	2685	54
041513	10:01	546	error	2	1313	98
041513	10:01	546	whichhand	3	8832	Right
041513	10:01	546	yane	1	6686	yane
041513	10:01	546	5yane	2	12115	5
041513	10:01	546	army	3	3718	army
041513	10:01	546	13army	4	3346	4
041513	10:01	546	beeg	5	4226	beeg
041513	10:01	546	9beeg	6	2097	7
041513	10:01	546	lion	7	5050	lion
041513	10:01	546	23lion	8	1345	8
041513	10:01	546	taxe	9	3232	taxe
041513	10:01	546	8taxe	10	1478	3
041513	10:01	546	pest	11	3456	pest
041513	10:01	546	14pest	12	894	3
041513	10:01	546	sour	13	2415	sour
041513	10:01	546	18sour	14	1942	6
041513	10:01	546	jame	15	2670	jame
041513	10:01	546	5jame	16	484	6
041513	10:01	546	ugly	17	2060	ugly
041513	10:01	546	19ugly	18	2907	3
041513	10:01	546	mom	19	2988	mom
041513	10:01	546	23mom	20	1148	8
041513	10:01	546	lake	21	2747	lake
041513	10:01	546	16lake	22	7533	6
041513	10:01	546	bees	23	2262	bees
041513	10:01	546	21bees	24	892	4
041513	10:01	546	nip	25	1796	nip
041513	10:01	546	22nip	26	629	9
041513	10:01	546	nop	27	2343	nop
041513	10:01	546	10nop	28	610	8
041513	10:01	546	blue	29	1822	blue
041513	10:01	546	18blue	30	1565	9
041513	10:01	546	cold	31	4212	cold
041513	10:01	546	19cold	32	2620	5
041513	10:01	546	lice	33	2320	lice
041513	10:01	546	13lice	34	915	5
041513	10:01	546	dax	35	2475	dax
041513	10:01	546	8dax	36	896	2
041513	10:01	546	plin	37	1625	plin
041513	10:01	546	10plin	38	1032	6
041513	10:01	546	lump	39	1867	lump
041513	10:01	546	23lump	40	648	8
041513	10:01	546	win	41	2339	win
041513	10:01	546	18win	42	869	5
041513	10:01	546	jabe	43	1567	jabe
041513	10:01	546	2jabe	44	903	5
041513	10:01	546	yofe	45	3528	yofe
041513	10:01	546	1yofe	46	1212	2
041513	10:01	546	soob	47	2495	soob
041513	10:01	546	7soob	48	1683	7
041513	10:01	546	slap	49	2709	slap
041513	10:01	546	16slap	50	713	3
041513	10:01	546	nobe	51	3633	nobe
041513	10:01	546	1nobe	52	2448	4
041513	10:01	546	frog	53	2618	frog
041513	10:01	546	15frog	54	546	3
041513	10:01	546	more	55	2881	more
041513	10:01	546	12more	56	1237	5
041513	10:01	546	hide	57	2017	hide
041513	10:01	546	13hide	58	920	7
041513	10:01	546	peka	59	3160	peka
041513	10:01	546	4peka	60	1978	5
041513	10:01	546	scar	61	2279	scar
041513	10:01	546	20scar	62	2076	5
041513	10:01	546	cow	63	1494	cow
041513	10:01	546	16cow	64	939	8
041513	10:01	546	pems	65	2113	pems
041513	10:01	546	4pems	66	1013	4
041513	10:01	546	yeet	67	2441	yeet
041513	10:01	546	3yeet	68	727	1
041513	10:01	546	sad	69	1615	sad
041513	10:01	546	20sad	70	638	2
041513	10:01	546	wish	71	1785	wish
041513	10:01	546	17wish	72	906	3
041513	10:01	546	lik	73	2674	lik
041513	10:01	546	11lik	74	1152	4
041513	10:01	546	jobe	75	2109	jobe
041513	10:01	546	1jobe	76	442	4
041513	10:01	546	voom	77	2517	voom
041513	10:01	546	7voom	78	1049	7
041513	10:01	546	tage	79	1491	tage
041513	10:01	546	9tage	80	720	5
041513	10:01	546	yate	81	1607	yate
041513	10:01	546	2yate	82	766	5
041513	10:01	546	yoop	83	2164	yoop
041513	10:01	546	11yoop	84	357	5
041513	10:01	546	tutk	85	2852	tutk
041513	10:01	546	5tutk	86	586	2
041513	10:01	546	life	87	3447	life
041513	10:01	546	12life	88	1805	6
041513	10:01	546	woem	89	1954	woem
041513	10:01	546	4woem	90	1676	3
041513	10:01	546	silk	91	1734	silk
041513	10:01	546	19silk	92	976	6
041513	10:01	546	slin	93	1974	slin
041513	10:01	546	6slin	94	656	6
041513	10:01	546	hay	95	1769	hay
041513	10:01	546	17hay	96	1403	6
041513	10:01	546	tove	97	1848	tove
041513	10:01	546	3tove	98	829	4
041513	10:01	546	voke	99	1848	voke
041513	10:01	546	6voke	100	711	5
041513	10:01	546	pill	101	2054	pill
041513	10:01	546	23pill	102	2292	6
041513	10:01	546	nofe	103	1878	nofe
041513	10:01	546	1nofe	104	619	4
041513	10:01	546	jufe	105	1694	jufe
041513	10:01	546	24jufe	106	675	2
041513	10:01	546	girl	107	1444	girl
041513	10:01	546	17girl	108	1267	5
041513	10:01	546	neeb	109	1620	neeb
041513	10:01	546	3neeb	110	363	5
041513	10:01	546	foof	111	1529	foof
041513	10:01	546	7foof	112	636	7
041513	10:01	546	flin	113	1917	flin
041513	10:01	546	6flin	114	633	4
041513	10:01	546	meef	115	1540	meef
041513	10:01	546	3meef	116	623	4
041513	10:01	546	lool	117	1642	lool
041513	10:01	546	11lool	118	1305	3
041513	10:01	546	wasp	119	2338	wasp
041513	10:01	546	15wasp	120	732	3
041513	10:01	546	tomb	121	2667	tomb
041513	10:01	546	19tomb	122	960	6
041513	10:01	546	mafe	123	1927	mafe
041513	10:01	546	2mafe	124	794	4
041513	10:01	546	snob	125	1552	snob
041513	10:01	546	18snob	126	609	2
041513	10:01	546	voop	127	1518	voop
041513	10:01	546	7voop	128	1025	8
041513	10:01	546	pluk	129	2212	pluk
041513	10:01	546	10pluk	130	1811	4
041513	10:01	546	obey	131	3288	obey
041513	10:01	546	14obey	132	989	8
041513	10:01	546	wac	133	2538	wac
041513	10:01	546	8wac	134	989	3
041513	10:01	546	bath	135	3793	bath
041513	10:01	546	15bath	136	779	3
041513	10:01	546	leel	137	1672	leel
041513	10:01	546	3leel	138	2157	5
041513	10:01	546	aqil	139	2980	aqil
041513	10:01	546	24aqil	140	941	1
041513	10:01	546	nilo	141	1852	nilo
041513	10:01	546	11nilo	142	906	8
041513	10:01	546	nude	143	1977	nude
041513	10:01	546	13nude	144	731	9
041513	10:01	546	soog	145	1833	soog
041513	10:01	546	7soog	146	1064	5
041513	10:01	546	cute	147	1849	cute
041513	10:01	546	15cute	148	576	4
041513	10:01	546	eat	149	1774	eat
041513	10:01	546	20eat	150	2591	7
041513	10:01	546	zabe	151	2940	zabe
041513	10:01	546	9zabe	152	1135	1
041513	10:01	546	baby	153	1814	baby
041513	10:01	546	15baby	154	1637	3
041513	10:01	546	zafe	155	3000	zafe
041513	10:01	546	9zafe	156	617	1
041513	10:01	546	bowl	157	1469	bowl
041513	10:01	546	17bowl	158	794	7
041513	10:01	546	pom	159	1446	pom
041513	10:01	546	22pom	160	1052	5
041513	10:01	546	joom	161	1406	joom
041513	10:01	546	11joom	162	567	6
041513	10:01	546	kige	163	1708	kige
041513	10:01	546	24kige	164	1320	4
041513	10:01	546	kabe	165	1376	kabe
041513	10:01	546	2kabe	166	2329	3
041513	10:01	546	seat	167	1912	seat
041513	10:01	546	20seat	168	1908	4
041513	10:01	546	vape	169	2645	vape
041513	10:01	546	2vape	170	1371	4
041513	10:01	546	dlip	171	2873	dlip
041513	10:01	546	6dlip	172	2478	2
041513	10:01	546	fear	173	1583	fear
041513	10:01	546	21fear	174	1208	7
041513	10:01	546	song	175	3389	song
041513	10:01	546	18song	176	1445	6
041513	10:01	546	lip	177	2352	lip
041513	10:01	546	22lip	178	1106	5
041513	10:01	546	melb	179	3659	melb
041513	10:01	546	4melb	180	1377	5
041513	10:01	546	nuad	181	4151	nuad
