date	time	subject	trialcode	trialnum	latency	response
092513	13:22	1	speed	1	4313	43
092513	13:22	1	error	2	2581	93
092513	13:22	1	whichhand	3	7979	right
092513	13:22	1	f.skooge	1	9181	4
092513	13:22	1	f.yage	2	6229	5
092513	13:22	1	f.proshe	3	4866	6
092513	13:22	1	f.shreege	4	6023	6
092513	13:22	1	f.swague	5	3557	7
092513	13:22	1	f.dwoot	6	4213	4
092513	13:22	1	f.yeem	7	1811	4
092513	13:22	1	f.thrare	8	2024	5
092513	13:22	1	f.smeege	9	2885	8
092513	13:22	1	f.loshe	10	1952	6
092513	13:22	1	f.sloob	11	2895	3
092513	13:22	1	f.thwage	12	2217	4
092513	13:22	1	f.nague	13	2102	4
092513	13:22	1	f.gwoor	14	2968	5
092513	13:22	1	f.poshe	15	2335	7
092513	13:22	1	f.shreeve	16	2519	6
092513	13:22	1	f.dogue	17	3400	6
092513	13:22	1	f.shrashe	18	1975	5
092513	13:22	1	f.dwogue	19	2078	5
092513	13:22	1	f.vave	20	3160	8
092513	13:22	1	f.groche	21	1608	4
092513	13:22	1	f.snoob	22	1773	4
092513	13:22	1	f.glase	23	2476	7
092513	13:22	1	f.plafe	24	1479	5
092513	13:22	1	f.glathe	25	2504	4
092513	13:22	1	f.joshe	26	2442	5
092513	13:22	1	f.krashe	27	4406	4
092513	13:22	1	f.thove	28	1637	6
092513	13:22	1	f.zooge	29	3377	7
092513	13:22	1	f.trake	30	2607	5
092513	13:22	1	f.dabe	31	4277	5
092513	13:22	1	f.cheel	32	1761	7
092513	13:22	1	f.smothe	33	1751	8
092513	13:22	1	f.tave	34	1615	7
092513	13:22	1	f.shrote	35	1619	6
092513	13:22	1	f.gwoose	36	2120	5
092513	13:22	1	f.dweese	37	1650	4
092513	13:22	1	f.smoog	38	1957	3
092513	13:22	1	f.swole	39	1341	5
092513	13:22	1	f.glogue	40	1685	4
092513	13:22	1	f.dreeze	41	2878	6
092513	13:22	1	f.twoop	42	1730	5
092513	13:22	1	f.mofe	43	1842	4
092513	13:22	1	f.skague	44	2830	5
092513	13:22	1	f.gloog	45	2058	6
092513	13:22	1	f.throol	46	1646	6
