date	time	subject	trialcode	trialnum	latency	response
102413	13:50	1	speed	1	2735	47
102413	13:50	1	error	2	1928	97
102413	13:50	1	whichhand	3	5201	right
102413	13:50	1	f.lool	1	17703	1
102413	13:50	1	f.shroom	2	5966	1
102413	13:50	1	f.troob	3	1839	1
102413	13:50	1	f.groche	4	2723	1
102413	13:50	1	f.kloche	5	3108	1
102413	13:50	1	f.frathe	6	4463	2
102413	13:50	1	f.prothe	7	2018	2
102413	13:50	1	f.zabe	8	2488	2
102413	13:50	1	f.dwase	9	3010	3
102413	13:50	1	f.fleeve	10	1752	2
102413	13:50	1	f.vabe	11	2783	3
102413	13:50	1	f.gweeg	12	2670	2
102413	13:50	1	f.drague	13	3961	2
102413	13:50	1	f.fofe	14	3033	2
102413	13:50	1	f.steesh	15	1614	2
102413	13:50	1	f.vade	16	4730	2
102413	13:50	1	f.swogue	17	2492	1
102413	13:50	1	f.thwole	18	2022	1
102413	13:50	1	f.noche	19	5156	3
102413	13:50	1	f.frague	20	2244	2
102413	13:50	1	f.slode	21	3520	3
102413	13:50	1	f.slashe	22	2794	3
102413	13:50	1	f.droge	23	2272	2
102413	13:50	1	f.tave	24	6699	4
102413	13:50	1	f.stoche	25	1634	3
102413	13:50	1	f.skase	26	3170	4
102413	13:50	1	f.preech	27	2690	5
102413	13:50	1	f.skoge	28	2981	2
102413	13:50	1	f.thwoot	29	1948	1
102413	13:50	1	f.toog	30	1843	1
102413	13:50	1	f.snooth	31	2151	4
102413	13:50	1	f.preeth	32	3106	2
102413	13:50	1	f.proom	33	1656	3
102413	13:50	1	f.bleeg	34	2427	1
102413	13:50	1	f.noof	35	1288	1
102413	13:50	1	f.troke	36	2554	2
102413	13:50	1	f.sloor	37	2010	1
102413	13:50	1	f.pleer	38	1495	1
102413	13:50	1	f.trague	39	2721	1
102413	13:50	1	f.thrare	40	1802	1
102413	13:50	1	f.shrare	41	1776	1
102413	13:50	1	f.grobe	42	1638	1
102413	13:50	1	f.deef	43	1746	1
102413	13:50	1	f.breesh	44	1946	2
102413	13:50	1	f.thogue	45	2010	1
102413	13:50	1	f.sobe	46	3303	2
102413	13:50	1	f.twoop	47	1529	1
102413	13:50	1	f.shogue	48	2010	1
102413	13:50	1	f.throthe	49	1447	1
102413	13:50	1	f.thook	50	1362	1
102413	13:50	1	f.blabe	51	1873	3
102413	13:50	1	f.droze	52	6252	2
102413	13:50	1	f.yope	53	4593	1
102413	13:50	1	f.flooth	54	1552	1
102413	13:50	1	f.prame	55	3911	5
102413	13:50	1	f.twabe	56	1609	1
102413	13:50	1	f.reesh	57	1502	1
