date	time	subject	trialcode	trialnum	latency	response
102413	13:57	1	speed	1	2839	30
102413	13:57	1	error	2	2052	90
102413	13:57	1	whichhand	3	9040	right
102413	13:57	1	f.vome	1	15762	4
102413	13:57	1	f.shreef	2	4741	2
102413	13:57	1	f.gware	3	7287	5
102413	13:57	1	f.snache	4	5211	6
102413	13:57	1	f.thwole	5	6153	4
102413	13:57	1	f.prothe	6	3946	5
102413	13:57	1	f.yogue	7	2842	7
102413	13:57	1	f.drase	8	5543	6
102413	13:57	1	f.jathe	9	3927	8
102413	13:57	1	f.noog	10	3760	8
102413	13:57	1	f.thweet	11	2616	6
102413	13:57	1	f.kwase	12	3709	6
102413	13:57	1	f.sneege	13	2775	5
102413	13:57	1	f.glook	14	2766	4
102413	13:57	1	f.thrache	15	3989	4
102413	13:57	1	f.dague	16	5260	3
102413	13:57	1	f.gooth	17	7880	5
102413	13:57	1	f.smeege	18	2316	6
102413	13:57	1	f.dwone	19	2813	5
102413	13:57	1	f.plake	20	3058	5
102413	13:57	1	f.thwafe	21	7094	6
102413	13:57	1	f.thrathe	22	9273	5
102413	13:57	1	f.gwoot	23	2774	7
102413	13:57	1	f.sheeg	24	2470	5
102413	13:57	1	f.pogue	25	4113	5
102413	13:57	1	f.zade	26	1842	6
102413	13:57	1	f.frooth	27	11894	6
102413	13:57	1	f.swabe	28	3034	5
102413	13:57	1	f.thweeth	29	3439	7
102413	13:57	1	f.brooge	30	3850	7
102413	13:57	1	f.preege	31	4767	6
102413	13:57	1	f.shroge	32	4719	3
102413	13:57	1	f.thrope	33	6521	4
102413	13:57	1	f.glooth	34	4547	3
102413	13:57	1	f.zathe	35	5331	4
102413	13:57	1	f.swathe	36	3813	5
102413	13:57	1	f.pleel	37	3139	4
102413	13:57	1	f.neef	38	4859	5
102413	13:57	1	f.proop	39	3647	5
102413	13:57	1	f.seeg	40	3219	7
102413	13:57	1	f.dreeze	41	2961	4
102413	13:57	1	f.krache	42	6192	4
102413	13:57	1	f.chood	43	3999	6
102413	13:57	1	f.zare	44	4173	5
102413	13:57	1	f.glashe	45	3189	4
102413	13:57	1	f.gleeth	46	2595	5
102413	13:57	1	f.dwague	47	4713	5
102413	13:57	1	f.zope	48	2978	4
102413	13:57	1	f.tweer	49	4929	2
102413	13:57	1	f.neesh	50	3578	4
102413	13:57	1	f.throle	51	3209	6
102413	13:57	1	f.shrothe	52	2111	1
102413	13:57	1	f.twooge	53	5664	4
102413	13:57	1	f.wooth	54	2276	6
102413	13:57	1	f.joom	55	2663	7
102413	13:57	1	f.twoom	56	3474	6
102413	13:57	1	f.skeeve	57	3446	6
102413	13:57	1	f.twave	58	3482	5
102413	13:57	1	f.speeve	59	3340	6
102413	13:57	1	f.joot	60	2021	7
102413	13:57	1	r.cabinet	1	5700	4
102413	13:57	1	r.priest	2	3143	5
102413	13:57	1	r.queen	3	3127	6
102413	13:57	1	r.hurt	4	3768	5
102413	13:57	1	r.happy	5	12447	7
102413	13:57	1	r.messy	6	18758	4
102413	13:57	1	r.cake	7	2418	6
102413	13:57	1	r.fish	8	3376	8
102413	13:57	1	r.loved	9	4151	8
102413	13:57	1	r.assault	10	10087	5
102413	13:57	1	r.orchestra	11	5516	2
102413	13:57	1	r.rape	12	2142	2
102413	13:57	1	r.cannon	13	7750	6
102413	13:57	1	r.grateful	14	2832	6
102413	13:57	1	r.pet	15	3837	7
102413	13:57	1	r.whore	16	2362	1
102413	13:57	1	r.passion	17	10568	8
102413	13:57	1	r.mind	18	3402	6
102413	13:57	1	r.stiff	19	1897	4
102413	13:57	1	r.pus	20	2746	1
102413	13:57	1	r.hairpin	21	10442	4
102413	13:57	1	r.black	22	2632	5
102413	13:57	1	r.free	23	8709	9
102413	13:57	1	r.odd	24	7880	6
102413	13:57	1	r.learn	25	4636	5
102413	13:57	1	r.penthouse	26	5017	3
102413	13:57	1	r.cook	27	5447	7
102413	13:57	1	r.vomit	28	2292	2
102413	13:57	1	r.dollar	29	3598	5
102413	13:57	1	r.sunlight	30	4475	6
102413	13:57	1	r.irritate	31	4952	2
102413	13:57	1	r.detail	32	4272	3
102413	13:57	1	r.metal	33	2692	9
102413	13:57	1	r.gymnast	34	4478	7
102413	13:57	1	r.useless	35	2546	1
102413	13:57	1	r.candy	36	6657	6
102413	13:57	1	r.luscious	37	2391	8
102413	13:57	1	r.rude	38	7013	4
102413	13:57	1	r.smallpox	39	3875	4
102413	13:57	1	r.water	40	5334	5
102413	13:57	1	r.corrupt	41	2063	4
102413	13:57	1	r.friendly	42	6043	6
102413	13:57	1	r.mangle	43	6328	5
102413	13:57	1	r.profit	44	8641	6
102413	13:57	1	r.obscene	45	6543	5
102413	13:57	1	r.untroubled	46	13848	5
102413	13:57	1	r.glass	47	7623	5
102413	13:57	1	r.bloody	48	3350	3
102413	13:57	1	r.slave	49	5966	2
102413	13:57	1	r.humane	50	7207	3
102413	13:57	1	r.selfish	51	12838	4
102413	13:57	1	r.jug	52	4366	6
102413	13:57	1	r.hungry	53	2166	6
102413	13:57	1	r.lamp	54	9148	6
102413	13:57	1	r.memories	55	9982	7
102413	13:57	1	r.agony	56	5127	4
102413	13:57	1	r.pinch	57	4481	4
102413	13:57	1	r.magical	58	8820	6
102413	13:57	1	r.grass	59	2163	5
102413	13:57	1	r.drown	60	3226	3
102413	13:57	1	howtype	1	18589	4
102513	11:57	1	speed	1	2604	34
102513	11:57	1	error	2	2420	100
102513	11:57	1	whichhand	3	9139	right
102513	11:57	1	r.needle	1	7946	5
102513	11:59	1	speed	1	3069	34
102513	11:59	1	error	2	2111	100
102513	11:59	1	whichhand	3	6195	right
102513	11:59	1	r.kick	1	3983	5
102513	11:59	1	r.snow	2	3263	4
102513	11:59	1	r.louse	3	3066	5
102513	11:59	1	r.good	4	4334	7
102513	11:59	1	r.annoy	5	3670	2
102513	11:59	1	r.silk	6	3450	7
102513	11:59	1	r.arrogant	7	3030	3
102513	11:59	1	r.color	8	3451	8
102513	11:59	1	r.elevator	9	1887	5
102513	11:59	1	r.outstanding	10	2489	9
102513	11:59	1	r.writer	11	2516	2
102513	11:59	1	r.jug	12	2797	5
102513	11:59	1	r.insect	13	2347	2
102513	11:59	1	r.mantel	14	2858	5
102513	11:59	1	r.bland	15	2062	5
102513	11:59	1	r.abuse	16	2065	1
102513	11:59	1	r.slap	17	2274	3
102513	11:59	1	r.hug	18	2159	9
102513	11:59	1	r.FALSE	19	2527	1
102513	11:59	1	r.passage	20	2855	5
102513	11:59	1	r.dancer	21	2251	7
102513	11:59	1	r.romantic	22	2687	6
102513	11:59	1	r.jelly	23	2249	5
102513	11:59	1	r.addict	24	2277	4
102513	11:59	1	r.greet	25	2847	6
102513	11:59	1	r.bloody	26	2955	1
102513	11:59	1	r.cheer	27	4739	3
102513	11:59	1	r.sweetheart	28	1676	5
102513	11:59	1	r.cozy	29	2039	9
102513	11:59	1	r.justice	30	2979	9
102513	11:59	1	r.invader	31	3082	3
