date	time	subject	trialcode	trialnum	latency	response
090213	14:42	4354654	speed	1	78416	fjdsflkjds
090213	14:42	4354654	error	2	1488	kjfdsk
090213	14:42	4354654	whichhand	3	1563	jfijfkd
090213	14:42	4354654	r.trust	1	825	4
090213	14:42	4354654	r.beverage	2	438	0
090213	14:42	4354654	f.thwole	1	737	3
090213	14:42	4354654	f.vome	2	658	4
090213	14:42	4354654	f.kwoove	3	341	0
090213	14:42	4354654	howtype	1	1228	5
090413	11:58	1	speed	1	8574	62
090413	11:58	1	error	2	4718	5
090413	11:58	1	whichhand	3	43862	Right
090413	11:58	1	r.game	1	8826	5
090413	11:58	1	r.sweetheart	2	2921	8
090413	11:58	1	r.naked	3	2698	3
090413	11:58	1	r.horse	4	1636	5
090413	11:58	1	r.skyscraper	5	2312	4
090413	11:58	1	r.knowledge	6	2649	6
090413	11:58	1	r.panic	7	2021	2
090413	11:58	1	r.birthday	8	2250	7
090413	11:58	1	r.honor	9	1918	6
090413	11:58	1	r.bed	10	1918	7
090413	11:58	1	r.virtue	11	2343	5
090413	11:58	1	r.vest	12	1863	4
090413	11:58	1	r.astronaut	13	1906	5
090413	11:58	1	r.learn	14	2020	5
090413	11:58	1	r.swimmer	15	1785	4
090413	11:58	1	r.hurt	16	1783	1
090413	11:58	1	r.scholar	17	1685	6
090413	11:58	1	r.face	18	1896	5
090413	11:58	1	r.allergy	19	3177	4
090413	11:58	1	r.blasphemy	20	2424	2
090413	11:58	1	r.bullet	21	1997	2
090413	11:58	1	r.locker	22	1619	5
090413	11:58	1	r.manner	23	1495	4
090413	11:58	1	r.noisy	24	1993	2
090413	11:58	1	r.acceptance	25	1350	8
090413	11:58	1	r.fascinate	26	1438	5
090413	11:58	1	r.treasure	27	2634	6
090413	11:58	1	r.vision	28	990	5
090413	11:58	1	r.hairpin	29	1620	5
090413	11:58	1	r.lust	30	1457	5
090413	11:58	1	r.greet	31	1509	8
090413	11:58	1	r.butter	32	1086	5
090413	11:58	1	r.cannon	33	1345	5
090413	11:58	1	r.taxi	34	1680	4
090413	11:58	1	r.champion	35	1914	7
090413	11:58	1	r.rape	36	1441	1
090413	11:58	1	r.win	37	1670	8
090413	11:58	1	r.confused	38	1953	3
090413	11:58	1	r.sexy	39	1489	5
090413	11:58	1	r.melody	40	1283	5
090413	11:58	1	r.blase	41	1757	4
090413	11:58	1	r.kindness	42	1885	9
090413	11:58	1	r.disgusted	43	1367	1
090413	11:58	1	r.nectar	44	1662	4
