date	time	subject	trialcode	trialnum	latency	response
090213	14:39	1	speed	1	7294	dfgfgvfh
090213	14:39	1	error	2	658	kdskdfsl
090213	14:39	1	whichhand	3	830	jdsfjdksl
090213	14:39	1	r.maggot	1	988	4
090213	14:39	1	r.stomach	2	347	1
090213	14:39	1	r.pamphlet	3	282	6
090213	14:39	1	r.clouds	4	1299	0
090213	14:39	1	f.plool	1	1101	3
090213	14:39	1	f.throge	2	382	6
090213	14:39	1	f.thwoor	3	412	3
090213	14:39	1	f.slogue	4	464	0
090213	14:39	1	howtype	1	1081	3
090313	12:55	1	speed	1	5917	51
090313	12:55	1	error	2	4073	98
090313	12:55	1	whichhand	3	6831	Left
090313	12:55	1	f.dwode	1	11767	7
090313	12:55	1	f.nooth	2	3194	3
090313	12:55	1	f.foob	3	2024	8
090313	12:55	1	f.vafe	4	2301	3
090313	12:55	1	f.sloose	5	3191	6
090313	12:55	1	f.voge	6	6102	6
090313	12:55	1	f.geech	7	2313	3
090313	12:55	1	f.trake	8	2226	4
090313	12:55	1	f.shroom	9	3702	9
090313	12:55	1	f.shrothe	10	11585	6
090313	12:55	1	f.dwoot	11	3058	8
090313	12:55	1	f.broge	12	3118	3
090313	12:55	1	f.swoof	13	2888	7
090313	12:55	1	f.dweer	14	2802	3
090313	12:55	1	f.pleel	15	2144	2
090313	12:55	1	f.gwood	16	3112	8
090313	12:55	1	f.throof	17	6065	7
090313	12:55	1	f.zache	18	1774	1
090313	12:55	1	f.preeth	19	1781	1
090313	12:55	1	f.glose	20	1179	2
090313	12:55	1	f.swoche	21	6409	4
090313	12:55	1	f.kweech	22	1512	2
090313	12:55	1	f.theen	23	1289	7
090313	12:55	1	f.gweeg	24	2859	4
090313	12:55	1	f.pague	25	1319	5
090313	12:55	1	f.groosh	26	4871	3
090313	12:55	1	f.slore	27	4395	5
090313	12:55	1	f.snoom	28	4690	4
090313	12:55	1	f.zogue	29	3069	2
090313	12:55	1	f.gwoom	30	1497	4
090313	12:55	1	f.bloge	31	2314	5
090313	12:55	1	f.kobe	32	2971	7
090313	12:55	1	f.kwope	33	1691	7
090313	12:55	1	f.fogue	34	1389	6
090313	12:55	1	f.stafe	35	2652	6
090313	12:55	1	f.groge	36	1647	4
090313	12:55	1	f.sabe	37	1627	6
090313	12:55	1	f.ploge	38	2631	6
090313	12:55	1	f.cheeth	39	4396	5
090313	12:55	1	f.dwoosh	40	1642	6
090313	12:55	1	f.slare	41	766	6
090313	12:55	1	f.dwoove	42	1389	6
090313	12:55	1	f.zeep	43	2275	4
090313	12:55	1	f.dwoge	44	1782	5
090313	12:55	1	f.flague	45	3788	4
090313	12:55	1	f.kwoche	46	4539	4
090313	12:55	1	f.threeth	47	4603	3
090313	12:55	1	f.spave	48	2179	5
090313	12:55	1	f.twoog	49	4130	2
090313	12:55	1	f.drade	50	2547	5
090313	12:55	1	f.dreeb	51	1283	4
090313	12:55	1	f.sloog	52	9389	6
090313	12:55	1	f.vage	53	1950	5
090313	12:55	1	f.jabe	54	1182	6
090313	12:55	1	f.dwofe	55	2612	2
090313	12:55	1	f.bloob	56	2281	6
090313	12:55	1	f.blabe	57	4380	4
090313	12:55	1	f.treege	58	2451	2
090313	12:55	1	f.deech	59	2159	3
090313	12:55	1	f.zothe	60	3247	5
090313	12:55	1	r.confused	1	13521	6
090313	12:55	1	r.rain	2	3312	9
090313	12:55	1	r.nice	3	2689	8
090313	12:55	1	r.prison	4	3684	5
090313	12:55	1	r.haphazard	5	3103	3
090313	12:55	1	r.dancer	6	6553	5
090313	12:55	1	r.crime	7	3178	6
090313	12:55	1	r.decorate	8	4145	4
090313	12:55	1	r.lawsuit	9	4777	8
090313	12:55	1	r.safe	10	5673	6
090313	12:55	1	r.bathroom	11	4389	7
090313	12:55	1	r.sexy	12	2324	9
090313	12:55	1	r.learn	13	3829	7
090313	12:55	1	r.hat	14	4106	6
090313	12:55	1	r.thrill	15	17428	7
090313	12:55	1	r.city	16	13790	5
090313	12:55	1	r.mucus	17	3000	2
090313	12:55	1	r.elevator	18	1791	7
090313	12:55	1	r.thermometer	19	2397	4
090313	12:55	1	r.victim	20	2323	5
090313	12:55	1	r.curtains	21	2340	6
090313	12:55	1	r.ugly	22	2668	5
090313	12:55	1	r.rage	23	2592	7
090313	12:55	1	r.mutilate	24	8286	5
090313	12:55	1	r.privacy	25	1907	9
090313	12:55	1	r.pillow	26	1413	9
090313	12:55	1	r.blossom	27	1681	8
090313	12:55	1	r.cuisine	28	1908	8
090313	12:55	1	r.yellow	29	1574	5
090313	12:55	1	r.legend	30	2356	7
090313	12:55	1	r.sphere	31	1492	8
090313	12:55	1	r.rattle	32	1823	5
090313	12:55	1	r.bomb	33	1436	5
090313	12:55	1	r.exercise	34	2136	8
090313	12:55	1	r.clock	35	3000	8
090313	12:55	1	r.malice	36	1735	5
090313	12:55	1	r.angel	37	1311	9
090313	12:55	1	r.scornful	38	1447	5
090313	12:55	1	r.grass	39	1171	5
090313	12:55	1	r.addicted	40	2658	7
090313	12:55	1	r.grief	41	1534	5
090313	12:55	1	r.enjoyment	42	2022	7
090313	12:55	1	r.crucify	43	3466	5
090313	12:55	1	r.morbid	44	2127	3
090313	12:55	1	r.jail	45	1487	3
090313	12:55	1	r.gender	46	1137	5
090313	12:55	1	r.ace	47	7689	7
090313	12:55	1	r.adorable	48	19429	5
090313	12:55	1	r.injury	49	2512	6
090313	12:55	1	r.column	50	2834	6
090313	12:55	1	r.flag	51	2781	3
090313	12:55	1	r.saint	52	2381	7
090313	12:55	1	r.penis	53	1699	9
090313	12:55	1	r.hospital	54	3829	7
090313	12:55	1	r.noose	55	2722	8
090313	12:55	1	r.cork	56	3027	6
090313	12:55	1	r.food	57	1928	9
090313	12:55	1	r.jealousy	58	4256	5
090313	12:55	1	r.god	59	1237	9
090313	12:55	1	r.overcast	60	1489	5
090313	12:55	1	howtype	1	21697	6
090513	13:57	1	speed	1	3494	60
090513	13:57	1	error	2	2789	100
090513	13:57	1	whichhand	3	5652	right
090513	13:57	1	r.kettle	1	4734	1
090513	13:57	1	r.lonely	2	2512	1
090513	13:57	1	r.surprised	3	3745	8
090513	13:57	1	r.freedom	4	2857	9
090513	13:57	1	r.indifferent	5	2797	4
090513	13:57	1	r.highway	6	3339	6
090513	13:57	1	r.fear	7	2316	2
090513	13:57	1	r.quiet	8	2125	5
090513	13:57	1	r.morbid	9	2206	1
090513	13:57	1	r.tool	10	1780	5
090513	13:57	1	r.destruction	11	1427	2
090513	13:57	1	r.horror	12	5007	6
090513	13:57	1	r.loneliness	13	1414	2
090513	13:57	1	r.sapphire	14	2330	9
090513	13:57	1	r.pet	15	1947	9
090513	13:57	1	r.blond	16	2299	4
090513	13:57	1	r.success	17	2148	9
090513	13:57	1	r.computer	18	1764	9
090513	13:57	1	r.employment	19	1555	9
090513	13:57	1	r.kitten	20	2067	8
090513	13:57	1	r.pig	21	2678	9
090513	13:57	1	r.swimmer	22	2825	5
090513	13:57	1	r.thoughtful	23	2174	7
090513	13:57	1	r.identity	24	1509	3
090513	13:57	1	r.stench	25	1614	1
090513	13:57	1	r.upset	26	1259	1
090513	13:57	1	r.spray	27	2182	8
090513	13:57	1	r.heart	28	1525	9
090513	13:57	1	r.relaxed	29	1462	9
090513	13:57	1	r.reserved	30	5321	7
090513	13:57	1	r.impair	31	2715	2
090513	13:57	1	r.savior	32	1468	9
090513	13:57	1	r.reward	33	1319	9
090513	13:57	1	r.rattle	34	2512	2
090513	13:57	1	r.greed	35	2369	4
090513	13:57	1	r.FALSE	36	2344	5
090513	13:57	1	r.joy	37	1576	8
090513	13:57	1	r.circle	38	1863	5
090513	13:57	1	r.embarrassed	39	1930	1
090513	13:57	1	r.tumor	40	1154	1
090513	13:57	1	r.vest	41	2377	3
090513	13:57	1	r.dummy	42	2848	4
090513	13:57	1	r.busybody	43	3876	8
090513	13:57	1	r.hit	44	1935	3
090513	13:57	1	r.alien	45	1511	1
090513	13:57	1	r.concentrate	46	1792	9
090513	13:57	1	r.hooker	47	1495	1
090513	13:57	1	r.disgusted	48	960	1
090513	13:57	1	r.yacht	49	1711	9
090513	13:57	1	r.gift	50	1296	9
090513	13:57	1	r.mutation	51	1481	1
090513	13:57	1	r.erotic	52	2628	8
090513	13:57	1	r.confused	53	2088	5
090513	13:57	1	r.detached	54	1899	2
090513	13:57	1	r.song	55	1500	9
090513	13:57	1	r.gripe	56	1334	1
090513	13:57	1	r.terrified	57	1694	1
090513	13:57	1	r.sun	58	1320	9
090513	13:57	1	r.man	59	1336	9
090513	13:57	1	r.mad	60	2617	2
090513	13:57	1	f.thrope	1	3770	5
090513	13:57	1	f.klope	2	3913	1
090513	13:57	1	f.gwake	3	2483	9
090513	13:57	1	f.toge	4	3342	5
090513	13:57	1	f.krage	5	1982	1
090513	13:57	1	f.slafe	6	2356	9
090513	13:57	1	f.sweeg	7	5332	2
090513	13:57	1	f.glafe	8	3014	9
090513	13:57	1	f.gweek	9	2355	8
090513	13:57	1	f.tofe	10	2339	5
090513	13:57	1	f.theek	11	1219	3
090513	13:57	1	f.trake	12	2049	1
090513	13:57	1	f.tage	13	2180	7
090513	13:57	1	f.prool	14	1099	2
090513	13:57	1	f.bleege	15	1732	1
090513	13:57	1	f.snooge	16	1684	9
090513	13:57	1	f.thoog	17	1535	2
090513	13:57	1	f.dweeze	18	1103	2
090513	13:57	1	f.klabe	19	5400	1
090513	13:57	1	f.thweed	20	1735	3
090513	13:57	1	f.flobe	21	1463	5
090513	13:57	1	f.droose	22	2371	3
090513	13:57	1	f.jabe	23	1681	7
