Word,Valence,LR_switch,finger_switch,rha,word_length,letter_freq
no,-1,0,1,2,2,7.128
ha,2,1,1,0,2,7.1305
ill,-2,0,1,3,3,5.005333333
joy,3,0,2,3,3,3.211333333
lol,3,0,0,3,3,5.185666667
ass,-4,0,1,-3,3,6.940333333
axe,-1,0,2,-3,3,7.006333333
bad,-3,0,2,-3,3,4.637333333
fad,-2,0,2,-3,3,4.882666667
fag,-3,0,2,-3,3,4.136666667
ftw,3,0,1,-3,3,4.548
gag,-2,0,2,-3,3,4.065666667
sad,-2,0,2,-3,3,6.249
war,-2,0,2,-3,3,5.504666667
wtf,-4,0,1,-3,3,4.548
flu,-2,1,2,1,3,3.003666667
fun,4,1,1,1,3,3.911666667
gun,-1,1,1,1,3,3.840666667
shy,-1,1,1,1,3,4.798333333
top,2,1,2,1,3,6.164
win,4,1,2,1,3,5.358333333
won,3,1,2,1,3,5.538666667
woo,3,1,1,1,3,5.791333333
pay,-1,2,2,1,3,4.023333333
hid,-1,1,2,1,3,5.771
hug,2,1,1,1,3,3.622333333
oks,2,1,2,1,3,4.868666667
ban,-2,1,2,-1,3,5.469333333
cry,-1,1,2,-1,3,3.581
fan,3,1,2,-1,3,5.714666667
big,1,2,2,-1,3,3.491
cut,-1,2,2,-1,3,4.865333333
die,-3,2,2,-1,3,7.973666667
dud,-2,2,2,-1,3,3.754666667
fit,1,2,2,-1,3,6.083333333
fud,-3,2,2,-1,3,3.079666667
god,1,2,2,-1,3,4.591666667
rig,-1,2,2,-1,3,4.989333333
rob,-2,2,2,-1,3,4.995333333
wow,4,2,2,-1,3,4.075666667
lag,-1,1,2,-1,3,4.735666667
mad,-3,1,2,-1,3,4.942
odd,-2,1,1,-1,3,5.337666667
yes,1,1,2,-1,3,7.001
join,1,0,3,4,4,5.34375
kill,-3,0,1,4,4,3.947
loom,-1,0,1,4,4,5.36125
axed,-1,0,2,-4,4,6.318
best,3,0,3,-4,4,7.39425
care,2,0,3,-4,4,7.4095
dead,-3,0,2,-4,4,7.34375
dear,2,0,2,-4,4,7.77725
debt,-2,0,1,-4,4,6.87575
drag,-1,0,3,-4,4,5.1055
ease,2,0,3,-4,4,9.9745
fear,-2,0,3,-4,4,7.271
free,1,0,1,-4,4,8.40475
rage,-2,0,3,-4,4,7.21775
safe,1,0,3,-4,4,7.356
save,2,0,3,-4,4,7.0435
stab,-2,0,3,-4,4,6.2605
tard,-2,0,3,-4,4,6.86575
twat,-5,0,3,-4,4,7.15975
cool,1,1,1,2,4,5.45525
doom,-2,1,2,2,4,5.41825
dull,-2,1,2,2,4,3.76525
dump,-1,1,2,2,4,2.8365
flop,-2,1,2,2,4,3.92225
fool,-2,1,1,2,4,5.31675
glum,-2,1,2,2,4,2.801
ruin,-2,1,3,2,4,5.615
wooo,4,1,1,2,4,6.22025
hail,2,2,3,2,4,6.313
hell,-4,2,2,2,4,6.7115
help,2,2,3,2,4,6.1875
pain,-2,2,3,2,4,5.95275
ugly,-3,2,3,2,4,2.693
lmao,4,2,3,2,4,5.52625
luck,3,2,3,2,4,2.58425
lurk,-1,2,3,2,4,3.3855
moan,-2,2,3,2,4,6.20725
mock,-2,2,3,2,4,3.36675
myth,-1,2,2,2,4,4.8825
pity,-2,2,3,2,4,4.98125
hope,2,1,3,2,4,7.058
joke,2,1,3,2,4,5.2835
kind,2,1,2,2,4,4.685
like,2,1,2,2,4,6.11625
mope,-1,1,3,2,4,6.136
noob,-2,1,2,2,4,5.81375
numb,-1,1,1,2,4,3.35125
poor,-2,1,2,2,4,5.7325
crap,-3,1,3,-2,4,4.71625
easy,1,1,3,-2,4,7.2925
eery,-2,1,2,-2,4,8.34125
gray,-1,1,2,-2,4,4.53575
grey,-1,1,2,-2,4,5.6695
rash,-2,1,3,-2,4,6.64375
scam,-2,1,3,-2,4,4.9205
sexy,3,1,3,-2,4,5.28825
trap,-1,1,2,-2,4,6.28475
warm,1,1,3,-2,4,4.73
warn,-2,1,3,-2,4,5.81575
weak,-2,1,3,-2,4,6.00025
weep,-2,1,2,-2,4,7.42325
ache,-2,2,3,-2,4,7.43625
agog,2,2,3,-2,4,4.926
avid,2,2,3,-2,4,5.091
fair,2,2,3,-2,4,5.837
fake,-3,2,3,-2,4,5.96725
fame,1,2,3,-2,4,6.37575
rant,-3,2,3,-2,4,7.48975
rape,-4,2,3,-2,4,7.19625
TRUE,2,2,2,-2,4,7.62575
want,1,2,3,-2,4,6.583
alas,-1,2,3,-2,4,6.6715
bias,-1,2,3,-2,4,5.738
bore,-2,2,3,-2,4,6.922
cute,2,2,3,-2,4,6.8245
cuts,-1,2,3,-2,4,5.23075
died,-3,2,2,-2,4,7.0435
dire,-3,2,3,-2,4,7.477
dirt,-2,2,2,-2,4,6.5655
fire,-2,2,3,-2,4,6.97075
gift,2,2,2,-2,4,5.06625
glad,3,2,3,-2,4,4.615
glee,3,2,2,-2,4,7.861
robs,-2,2,3,-2,4,5.32825
sore,-1,2,3,-2,4,8.13075
tits,-2,2,3,-2,4,7.85125
hard,-1,1,3,-2,4,6.12525
hate,-3,1,3,-2,4,9.00475
lags,-2,1,3,-2,4,5.1335
mess,-2,1,2,-2,4,6.9405
calm,2,1,3,0,4,4.345
damn,-4,1,2,0,4,5.39375
deny,-2,1,1,0,4,6.4195
drop,-1,1,3,0,4,4.919
evil,-3,1,3,0,4,6.16775
fail,-2,1,3,0,4,5.3465
gain,2,1,3,0,4,5.97425
stop,-1,1,3,0,4,6.20475
bold,2,2,2,0,4,4.31925
bomb,-1,2,3,0,4,3.22425
chic,2,2,3,0,4,4.656
cunt,-5,2,2,0,4,5.33625
dumb,-3,2,2,0,4,2.72725
dupe,-2,2,3,0,4,5.4105
fine,2,2,3,0,4,7.16125
fond,2,2,3,0,4,5.18425
good,3,2,2,0,4,5.3205
riot,-2,2,3,0,4,7.379
shit,-4,2,3,0,4,7.11075
slut,-5,2,3,0,4,5.5415
smog,-2,2,3,0,4,4.56375
snub,-2,2,2,0,4,4.3315
tops,2,2,3,0,4,6.20475
tout,-2,2,3,0,4,7.09425
vile,-3,2,3,0,4,6.16775
wins,4,2,3,0,4,5.6005
woow,4,2,2,0,4,4.9335
harm,-2,2,3,0,4,5.6635
hero,2,2,3,0,4,8.0725
jerk,-3,2,3,0,4,4.9035
keen,1,2,2,0,4,8.23125
lack,-2,2,3,0,4,3.9365
lawl,3,2,3,0,4,4.64425
lazy,-1,2,2,0,4,3.56
leak,-1,2,3,0,4,6.4165
pray,1,2,3,0,4,4.51425
yeah,1,2,3,0,4,7.23425
hide,-1,1,2,0,4,7.50375
hoax,-2,1,3,0,4,5.4795
huge,1,1,2,0,4,5.89225
hugs,2,1,2,0,4,4.2985
hurt,-2,1,1,0,4,5.97375
kiss,2,1,1,0,4,5.098
liar,-3,1,3,0,4,6.28625
lied,-2,1,2,0,4,6.9865
loss,-3,1,1,0,4,6.0465
lost,-3,1,2,0,4,6.72875
love,3,1,2,0,4,6.303
miss,-2,1,2,0,4,5.5065
nice,3,1,2,0,4,7.29975
nuts,-3,1,2,0,4,6.2225
piss,-4,1,2,0,4,5.38725
anti,-1,3,3,0,4,7.7345
blah,-2,3,3,0,4,4.9445
cock,-5,3,3,0,4,3.46075
dick,-4,3,3,0,4,3.69325
envy,-1,3,3,0,4,5.60075
fuck,-4,3,3,0,4,2.135
rich,2,3,3,0,4,5.45725
risk,-2,3,3,0,4,5.013
rofl,4,3,3,0,4,4.93675
sick,-2,3,3,0,4,4.21175
sigh,-2,3,3,0,4,5.3505
slam,-2,3,3,0,4,5.23125
spam,-2,3,3,0,4,4.70725
suck,-3,3,3,0,4,3.15975
torn,-2,3,3,0,4,7.32475
wish,1,3,3,0,4,5.43675
worn,-1,3,3,0,4,5.65075
haha,3,3,3,0,4,7.1305
lame,-2,3,3,0,4,6.825
jolly,2,0,2,5,5,3.5368
jumpy,-1,0,2,5,5,1.844
yummy,3,0,0,5,5,2.3036
agree,1,0,2,-5,5,8.3146
asset,2,0,3,-5,5,8.5158
avert,-1,0,3,-5,5,7.378
award,3,0,4,-5,5,5.7868
brave,2,0,3,-5,5,5.8652
cares,2,0,4,-5,5,7.193
defer,-1,0,3,-5,5,7.5744
drags,-1,0,4,-5,5,5.3498
dread,-2,0,4,-5,5,7.0724
eager,2,0,4,-5,5,8.3146
farce,-1,0,3,-5,5,6.3732
grace,1,0,2,-5,5,6.3306
grave,-2,0,3,-5,5,5.9698
great,3,0,3,-5,5,7.5854
greed,-3,0,1,-5,5,7.5318
greet,1,0,2,-5,5,8.4924
saved,2,0,3,-5,5,6.4854
scare,-2,0,4,-5,5,7.193
stabs,-2,0,4,-5,5,6.2738
swear,-2,0,3,-5,5,7.1086
sweet,2,0,2,-5,5,8.6294
tears,-2,0,4,-5,5,8.4478
waste,-1,0,4,-5,5,7.7224
drunk,-2,1,3,1,5,4.1038
rainy,-1,1,3,1,5,5.9686
sappy,-1,1,3,1,5,4.0652
scoop,3,1,3,1,5,5.2104
