Word,Valence Mean,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
sex,8.05,0,2,-3,3,6.393,-2.517408124,-2.52417795,-1.888781431
car,7.73,0,2,-3,3,5.645333333,-2.517408124,-2.52417795,-1.888781431
bed,7.51,0,1,-3,3,6.149,-2.517408124,-3.52417795,-1.888781431
eat,7.47,0,2,-3,3,9.975,-2.517408124,-2.52417795,-1.888781431
ace,6.88,0,1,-3,3,7.883666667,-2.517408124,-3.52417795,-1.888781431
art,6.68,0,1,-3,3,7.736666667,-2.517408124,-3.52417795,-1.888781431
bar,6.42,0,2,-3,3,5.215333333,-2.517408124,-2.52417795,-1.888781431
red,6.41,0,1,-3,3,7.647333333,-2.517408124,-3.52417795,-1.888781431
cat,5.72,0,2,-3,3,6.668333333,-2.517408124,-2.52417795,-1.888781431
egg,5.29,0,1,-3,3,5.577333333,-2.517408124,-3.52417795,-1.888781431
rat,3.02,0,2,-3,3,7.736666667,-2.517408124,-2.52417795,-1.888781431
fat,2.28,0,2,-3,3,6.483666667,-2.517408124,-2.52417795,-1.888781431
war,2.08,0,2,-3,3,5.504666667,-2.517408124,-2.52417795,-1.888781431
sad,1.61,0,2,-3,3,6.249,-2.517408124,-2.52417795,-1.888781431
arm,5.34,1,2,-1,3,5.52,-1.517408124,-2.52417795,0.111218569
god,8.15,2,2,-1,3,4.591666667,-0.517408124,-2.52417795,0.111218569
dog,7.57,2,2,-1,3,4.591666667,-0.517408124,-2.52417795,0.111218569
wit,7.32,2,2,-1,3,6.127333333,-0.517408124,-2.52417795,0.111218569
air,6.34,2,2,-1,3,7.04,-0.517408124,-2.52417795,0.111218569
cow,5.57,2,2,-1,3,4.216333333,-0.517408124,-2.52417795,0.111218569
bus,4.51,2,2,-1,3,3.525666667,-0.517408124,-2.52417795,0.111218569
fur,4.51,2,2,-1,3,3.657666667,-0.517408124,-2.52417795,0.111218569
cut,3.64,2,2,-1,3,4.865333333,-0.517408124,-2.52417795,0.111218569
win,8.38,1,2,1,3,5.358333333,-1.517408124,-2.52417795,2.111218569
fun,8.37,1,1,1,3,3.911666667,-1.517408124,-3.52417795,2.111218569
