word,happiness_average,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
a,5.24,0,0,-1,1,8.167,-2.515839387,-4.620762712,0.126109766
aaah,6.44,1,1,-2,4,7.64875,-1.515839387,-3.620762712,-0.873890234
aah,6.1,1,1,-1,3,7.476,-1.515839387,-3.620762712,0.126109766
aan,4.58,1,1,-1,3,7.694333333,-1.515839387,-3.620762712,0.126109766
aaron,5.1,1,3,-1,5,7.3154,-1.515839387,-1.620762712,0.126109766
ab,4.68,0,1,-2,2,4.8295,-2.515839387,-3.620762712,-0.873890234
abandoned,2.54,4,7,-3,9,6.671,1.484160613,2.379237288,-1.873890234
abc,5.24,0,2,-3,3,4.147,-2.515839387,-2.620762712,-1.873890234
aber,4.94,0,3,-4,4,7.087,-2.515839387,-1.620762712,-2.873890234
ability,6.68,3,6,1,7,5.520857143,0.484160613,1.379237288,2.126109766
able,6.56,2,3,-2,4,6.5965,-0.515839387,-1.620762712,-0.873890234
abnormal,3.69,5,7,0,8,5.5625,2.484160613,2.379237288,1.126109766
aboard,6.24,2,5,-4,6,5.928833333,-0.515839387,0.379237288,-2.873890234
abortion,2.6,3,6,0,8,6.678875,0.484160613,1.379237288,1.126109766
about,5.16,2,4,-1,5,5.796,-0.515839387,-0.620762712,0.126109766
above,5.96,2,4,-3,5,6.1692,-0.515839387,-0.620762712,-1.873890234
abraham,5.32,3,5,-3,7,5.782857143,0.484160613,0.379237288,-1.873890234
abroad,6.96,2,4,-4,6,5.928833333,-0.515839387,-0.620762712,-2.873890234
absence,3.58,2,5,-5,7,7.274428571,-0.515839387,0.379237288,-3.873890234
absent,3.9,2,5,-4,6,7.4155,-0.515839387,0.379237288,-2.873890234
absolute,5.4,2,6,-2,8,6.50425,-0.515839387,1.379237288,-0.873890234
absolutely,6.3,3,8,0,10,5.8033,0.484160613,3.379237288,1.126109766
absorbed,5.66,2,5,-6,8,5.990875,-0.515839387,0.379237288,-4.873890234
absorption,5.84,5,9,0,10,6.1687,2.484160613,4.379237288,1.126109766
abstract,5.53,0,6,-8,8,6.37925,-2.515839387,1.379237288,-6.873890234
abt,4.84,0,1,-3,3,6.238333333,-2.515839387,-3.620762712,-1.873890234
abundant,7.16,4,6,-2,8,5.923875,1.484160613,1.379237288,-0.873890234
abuse,1.88,2,4,-3,5,6.2892,-0.515839387,-0.620762712,-1.873890234
abused,1.83,2,4,-4,6,5.949833333,-0.515839387,-0.620762712,-2.873890234
abyss,4.1,2,3,-3,5,4.8574,-0.515839387,-1.620762712,-1.873890234
ac,5.64,0,1,-2,2,5.4745,-2.515839387,-3.620762712,-0.873890234
acabo,4.94,1,4,-3,5,5.623,-1.515839387,-0.620762712,-1.873890234
academic,5.96,2,6,-4,8,6.028125,-0.515839387,1.379237288,-2.873890234
academy,6.04,1,4,-3,7,5.778714286,-1.515839387,-0.620762712,-1.873890234
accent,5.62,2,3,-4,6,7.039666667,-0.515839387,-1.620762712,-2.873890234
accept,6.42,2,3,-4,6,6.236333333,-0.515839387,-1.620762712,-2.873890234
acceptable,6.67,4,7,-6,10,6.3804,1.484160613,2.379237288,-4.873890234
acceptance,6.86,4,6,-6,10,6.7818,1.484160613,1.379237288,-4.873890234
accepted,6.54,2,4,-6,8,6.796625,-0.515839387,-0.620762712,-4.873890234
access,5.88,0,2,-6,6,6.5145,-2.515839387,-2.620762712,-4.873890234
accident,2.32,4,5,-4,8,6.682125,1.484160613,0.379237288,-2.873890234
accidentally,3.98,5,8,-2,12,5.970666667,2.484160613,3.379237288,-0.873890234
accompanied,6.22,4,8,-1,11,5.855454545,1.484160613,3.379237288,0.126109766
accompanying,6.04,4,9,2,12,4.849416667,1.484160613,4.379237288,3.126109766
accomplished,7.32,4,9,0,12,5.495,1.484160613,4.379237288,1.126109766
accord,5.76,2,4,-4,6,5.246333333,-0.515839387,-0.620762712,-2.873890234
accordance,5.53,4,7,-6,10,6.1878,1.484160613,2.379237288,-4.873890234
according,5.1,4,7,-3,9,5.245333333,1.484160613,2.379237288,-1.873890234
accordingly,5.8,5,9,-1,11,4.837,2.484160613,4.379237288,0.126109766
account,5.5,2,4,-1,7,5.685857143,-0.515839387,-0.620762712,0.126109766
accounting,4.86,4,7,0,10,5.5531,1.484160613,2.379237288,1.126109766
accounts,4.96,2,5,-2,8,5.766,-0.515839387,0.379237288,-0.873890234
accumulation,5.7,3,8,2,12,5.343583333,0.484160613,3.379237288,3.126109766
accuracy,6.88,3,6,-4,8,4.424875,0.484160613,1.379237288,-2.873890234
accurate,6.67,2,6,-6,8,6.550125,-0.515839387,1.379237288,-4.873890234
accurately,6.84,3,8,-4,10,5.84,0.484160613,3.379237288,-2.873890234
accusations,3.16,4,9,-3,11,6.144363636,1.484160613,4.379237288,-1.873890234
accused,2.92,2,4,-5,7,5.681571429,-0.515839387,-0.620762712,-3.873890234
accustomed,5.6,4,7,-4,10,5.874,1.484160613,2.379237288,-2.873890234
ace,6.68,0,1,-3,3,7.883666667,-2.515839387,-3.620762712,-1.873890234
ache,2.68,2,3,-2,4,7.43625,-0.515839387,-1.620762712,-0.873890234
achieve,7.42,2,6,-3,7,7.198714286,-0.515839387,1.379237288,-1.873890234
achieved,7.56,2,6,-4,8,6.8305,-0.515839387,1.379237288,-2.873890234
achievement,7.58,6,10,-3,11,7.391272727,3.484160613,5.379237288,-1.873890234
aching,3.18,2,5,0,6,5.462166667,-0.515839387,0.379237288,1.126109766
acho,4.82,1,3,0,4,6.1375,-1.515839387,-1.620762712,1.126109766
acid,3.59,2,3,-2,4,5.542,-0.515839387,-1.620762712,-0.873890234
acids,4.38,2,4,-3,5,5.699,-0.515839387,-0.620762712,-1.873890234
acknowledge,6.24,4,9,-3,11,5.821272727,1.484160613,4.379237288,-1.873890234
acknowledged,6.1,4,9,-4,12,5.690583333,1.484160613,4.379237288,-2.873890234
acoustic,6.48,4,7,-2,8,5.793125,1.484160613,2.379237288,-0.873890234
acquainted,6.08,4,8,-4,10,6.1695,1.484160613,3.379237288,-2.873890234
acquire,6.36,2,6,-3,7,5.636714286,-0.515839387,1.379237288,-1.873890234
acquired,6.04,2,6,-4,8,5.46375,-0.515839387,1.379237288,-2.873890234
acquisition,5.8,5,10,1,11,5.849,2.484160613,5.379237288,2.126109766
acquisitions,5.54,6,11,0,12,5.888833333,3.484160613,6.379237288,1.126109766
acres,6.02,0,4,-5,5,7.193,-2.515839387,-0.620762712,-3.873890234
across,4.94,2,4,-4,6,6.182833333,-0.515839387,-0.620762712,-2.873890234
act,6,0,2,-3,3,6.668333333,-2.515839387,-2.620762712,-1.873890234
acted,5.56,0,3,-5,5,7.392,-2.515839387,-1.620762712,-3.873890234
actin,5.39,1,4,-1,5,6.744,-1.515839387,-0.620762712,0.126109766
acting,6.04,2,5,-2,6,5.955833333,-0.515839387,0.379237288,-0.873890234
action,5.98,1,5,0,6,6.871166667,-1.515839387,0.379237288,1.126109766
actions,5.78,2,6,-1,7,6.793428571,-0.515839387,1.379237288,0.126109766
active,6.82,2,5,-4,6,6.775166667,-0.515839387,0.379237288,-2.873890234
activities,6.46,6,9,-4,10,6.9966,3.484160613,4.379237288,-2.873890234
activity,6.32,5,7,-2,8,5.743125,2.484160613,2.379237288,-0.873890234
actor,6.2,2,4,-3,5,6.6998,-0.515839387,-0.620762712,-1.873890234
actors,6.24,2,5,-4,6,6.637666667,-0.515839387,0.379237288,-2.873890234
actress,6.4,0,4,-7,7,7.335428571,-2.515839387,-0.620762712,-5.873890234
acts,5.48,0,3,-4,4,6.583,-2.515839387,-1.620762712,-2.873890234
actual,5.48,3,5,-2,6,5.825833333,0.484160613,0.379237288,-0.873890234
actually,5.3,3,6,0,8,5.11925,0.484160613,1.379237288,1.126109766
acute,4.16,2,4,-3,5,7.093,-0.515839387,-0.620762712,-1.873890234
ad,4.92,0,1,-2,2,6.21,-2.515839387,-3.620762712,-0.873890234
ada,5.04,0,2,-3,3,6.862333333,-2.515839387,-2.620762712,-1.873890234
adam,5.54,1,3,-2,4,5.74825,-1.515839387,-1.620762712,-0.873890234
adams,5.34,2,4,-3,5,5.864,-0.515839387,-0.620762712,-1.873890234
adapted,6,2,5,-5,7,6.932428571,-0.515839387,0.379237288,-3.873890234
add,5.9,0,1,-3,3,5.557666667,-2.515839387,-3.620762712,-1.873890234
added,5.78,0,1,-5,5,6.7256,-2.515839387,-3.620762712,-3.873890234
addenda,4.82,2,4,-5,7,6.934857143,-0.515839387,-0.620762712,-3.873890234
addict,2.84,2,4,-4,6,5.912833333,-0.515839387,-0.620762712,-2.873890234
addicted,3.52,2,5,-6,8,6.554,-0.515839387,0.379237288,-4.873890234
addiction,2.72,3,7,-1,9,6.299888889,0.484160613,2.379237288,0.126109766
adding,5.72,2,4,-2,6,5.4005,-0.515839387,-0.620762712,-0.873890234
addition,5.9,3,6,0,8,6.739625,0.484160613,1.379237288,1.126109766
additional,5.78,5,8,0,10,6.6109,2.484160613,3.379237288,1.126109766
address,5.6,0,4,-7,7,6.859428571,-2.515839387,-0.620762712,-5.873890234
addressed,5.8,0,5,-9,9,7.219,-2.515839387,0.379237288,-7.873890234
adds,5.5,0,2,-4,4,5.75,-2.515839387,-2.620762712,-2.873890234
adequate,5.66,2,6,-6,8,7.2375,-0.515839387,1.379237288,-4.873890234
adesso,5.02,1,3,-4,6,7.547166667,-1.515839387,-1.620762712,-2.873890234
adios,4.34,2,4,-1,5,6.644,-0.515839387,-0.620762712,0.126109766
adjacent,5.43,4,6,-4,8,6.503625,1.484160613,1.379237288,-2.873890234
