word,valence,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
fed,1.1,0,1,-3,3,6.394333333,-2.722222222,-4.152777778,0.159722222
led,0.3,1,1,-1,3,6.993333333,-1.722222222,-4.152777778,2.159722222
met,0.8,1,2,-1,3,8.054666667,-1.722222222,-3.152777778,2.159722222
hit,-1.8,1,2,1,3,7.372,-1.722222222,-3.152777778,4.159722222
sued,-1.9,2,2,-2,4,6.51,-0.722222222,-3.152777778,1.159722222
left,-1.5,1,2,-2,4,7.00275,-1.722222222,-3.152777778,1.159722222
hurt,-1.9,1,1,0,4,5.97375,-1.722222222,-4.152777778,3.159722222
dated,1.4,0,3,-5,5,7.5602,-2.722222222,-2.152777778,-1.840277778
fazed,-0.4,0,2,-5,5,5.4848,-2.722222222,-3.152777778,-1.840277778
freed,1.6,0,1,-5,5,7.5744,-2.722222222,-4.152777778,-1.840277778
vexed,-1.5,0,3,-5,5,6.157,-2.722222222,-2.152777778,-1.840277778
bored,-1.6,2,3,-3,5,6.3882,-0.722222222,-2.152777778,0.159722222
wowed,1.8,2,3,-3,5,5.8364,-0.722222222,-2.152777778,0.159722222
shook,-0.4,1,3,3,5,5.6414,-1.722222222,-2.152777778,6.159722222
hated,-2.6,1,3,-3,5,8.0544,-1.722222222,-2.152777778,0.159722222
hired,-0.2,1,3,-1,5,7.2004,-1.722222222,-2.152777778,2.159722222
loved,2.5,1,2,-1,5,5.893,-1.722222222,-3.152777778,2.159722222
moved,0.3,1,3,-1,5,5.5692,-1.722222222,-2.152777778,2.159722222
upset,-2.1,1,4,-1,5,6.5544,-1.722222222,-1.152777778,2.159722222
liked,1.7,1,2,1,5,5.7436,-1.722222222,-3.152777778,4.159722222
feared,-2.1,0,4,-6,6,7.673166667,-2.722222222,-1.152777778,-2.840277778
grazed,-1.1,0,2,-6,6,5.533,-2.722222222,-3.152777778,-2.840277778
scared,-2,0,4,-6,6,6.703,-2.722222222,-1.152777778,-2.840277778
defied,-1.3,2,3,-4,6,7.184,-0.722222222,-2.152777778,-0.840277778
warned,-0.7,2,4,-4,6,6.703,-0.722222222,-1.152777778,-0.840277778
struck,-1.5,3,4,-2,6,4.613666667,0.277777778,-1.152777778,1.159722222
adored,2.5,2,4,-4,6,7.144833333,-0.722222222,-1.152777778,-0.840277778
wanted,0.6,2,4,-4,6,7.2145,-0.722222222,-1.152777778,-0.840277778
caught,-0.2,4,5,-2,6,5.145333333,1.277777778,-0.152777778,1.159722222
repaid,0.3,4,5,-2,6,6.667333333,1.277777778,-0.152777778,1.159722222
called,0.5,2,3,-2,6,5.992333333,-0.722222222,-2.152777778,1.159722222
calmed,1.6,2,4,-2,6,5.7225,-0.722222222,-1.152777778,1.159722222
echoed,0.4,2,3,-2,6,7.673333333,-0.722222222,-2.152777778,1.159722222
galled,-0.9,2,3,-2,6,5.8645,-0.722222222,-2.152777778,1.159722222
tailed,-0.2,2,4,-2,6,7.528166667,-0.722222222,-1.152777778,1.159722222
valued,1.7,2,4,-2,6,5.4805,-0.722222222,-1.152777778,1.159722222
amazed,1.6,2,3,-4,6,5.9615,-0.722222222,-2.152777778,-0.840277778
bugged,-1,2,3,-4,6,4.205833333,-0.722222222,-2.152777778,-0.840277778
chased,-0.8,2,4,-4,6,6.720833333,-0.722222222,-1.152777778,-0.840277778
forgot,-0.8,4,4,-2,6,5.716666667,1.277777778,-1.152777778,1.159722222
blamed,-2,4,4,-2,6,5.5075,1.277777778,-1.152777778,1.159722222
envied,-1.8,4,4,-2,6,7.391666667,1.277777778,-1.152777778,1.159722222
shamed,-2,4,4,-2,6,6.658166667,1.277777778,-1.152777778,1.159722222
amused,2,2,3,-2,6,6.102166667,-0.722222222,-2.152777778,1.159722222
chided,-1.1,2,3,-2,6,6.175,-0.722222222,-2.152777778,1.159722222
guided,1.3,2,3,-2,6,5.491166667,-0.722222222,-2.152777778,1.159722222
fought,-1.9,4,5,0,6,4.943,1.277777778,-0.152777778,3.159722222
filmed,0.7,2,4,0,6,5.43,-0.722222222,-1.152777778,3.159722222
fooled,0.5,2,2,0,6,6.370333333,-0.722222222,-3.152777778,3.159722222
passed,1.3,1,3,-4,6,6.6175,-1.722222222,-2.152777778,-0.840277778
