word,V.Mean.Sum,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
do,5.41,1,1,0,2,5.88,-2.056199305,-4.521364426,1.083357474
go,6.32,1,1,0,2,4.761,-2.056199305,-4.521364426,1.083357474
id,5.5,1,1,0,2,5.6095,-2.056199305,-4.521364426,1.083357474
ox,4.95,1,1,0,2,3.8285,-2.056199305,-4.521364426,1.083357474
ad,4.11,0,1,-2,2,6.21,-3.056199305,-4.521364426,-0.916642526
be,6.18,0,1,-2,2,7.097,-3.056199305,-4.521364426,-0.916642526
ex,2.7,0,1,-2,2,6.426,-3.056199305,-4.521364426,-0.916642526
tv,6.05,0,0,-2,2,5.017,-3.056199305,-5.521364426,-0.916642526
TV,5.42,0,0,-2,2,5.017,-3.056199305,-5.521364426,-0.916642526
op,5.21,0,1,2,2,4.718,-3.056199305,-4.521364426,3.083357474
pi,5.4,0,1,2,2,4.4475,-3.056199305,-4.521364426,3.083357474
ado,4.82,1,2,-1,3,6.642333333,-2.056199305,-3.521364426,0.083357474
ark,6.15,1,2,-1,3,4.975333333,-2.056199305,-3.521364426,0.083357474
arm,5.44,1,2,-1,3,5.52,-2.056199305,-3.521364426,0.083357474
ask,5.95,1,2,-1,3,5.088666667,-2.056199305,-3.521364426,0.083357474
bam,5.05,1,2,-1,3,4.021666667,-2.056199305,-3.521364426,0.083357474
ban,3.38,1,2,-1,3,5.469333333,-2.056199305,-3.521364426,0.083357474
bay,7.23,1,2,-1,3,3.877666667,-2.056199305,-3.521364426,0.083357474
bro,5.32,1,1,-1,3,4.995333333,-2.056199305,-4.521364426,0.083357474
can,6.41,1,2,-1,3,5.899333333,-2.056199305,-3.521364426,0.083357474
cap,5,1,2,-1,3,4.292666667,-2.056199305,-3.521364426,0.083357474
cry,3.22,1,2,-1,3,3.581,-2.056199305,-3.521364426,0.083357474
dam,4.58,1,2,-1,3,4.942,-2.056199305,-3.521364426,0.083357474
day,6.36,1,2,-1,3,4.798,-2.056199305,-3.521364426,0.083357474
den,5.11,1,1,-1,3,7.901333333,-2.056199305,-4.521364426,0.083357474
dry,4.86,1,2,-1,3,4.071333333,-2.056199305,-3.521364426,0.083357474
eel,4.14,1,1,-1,3,9.809666667,-2.056199305,-4.521364426,0.083357474
ego,4.38,1,2,-1,3,7.408,-2.056199305,-3.521364426,0.083357474
