"Word Type","Model","Predictor","Estimate","SE","df","t","p"
"Psuedo","Low RSA","(Intercept)","4.11452862136777","0.0665445234418533","35524","61.8312132772737","0"
"Psuedo","Low RSA","letterfreq","0.0451344615679491","0.00747858442415363","35524","6.035161069009","1.60373998575044e-09"
"Psuedo","Low RSA","speed","0.00536843290166433","0.00320393683639183","601","1.67557388793909","0.0943418227385025"
"Psuedo","Low RSA","lrswitch","-0.0289597793707843","0.01482697114639","35524","-1.95318241904283","0.0508058231628065"
"Psuedo","Low RSA","fingerswitch","-0.0953437542646899","0.0167759393591679","35524","-5.68336307275607","1.33103897719599e-08"
"Psuedo","Low RSA","lowrha","0.0491897590437778","0.00664068466564239","35524","7.40733245447959","1.31722431470205e-13"
"Psuedo","Low RSA","speed:lrswitch","0.00186082735241538","0.0011180734118205","35524","1.66431589620354","0.0960581368134207"
"Psuedo","Low RSA","speed:fingerswitch","-0.00113168338924154","0.00127165291799185","35524","-0.889931028529903","0.373508948320526"
"Psuedo","Low RSA","lrswitch:fingerswitch","-0.0195992824950606","0.00930080535183802","35524","-2.10726724768919","0.0351014106244258"
"Psuedo","Low RSA","speed:lowrha","-0.00095254711316161","0.000475386965968","35524","-2.0037299744262","0.0451065730019704"
"Psuedo","Low RSA","lrswitch:lowrha","0.000308864639021551","0.0045871376754012","35524","0.0673327597464222","0.946317176484403"
"Psuedo","Low RSA","fingerswitch:lowrha","0.0144289041229059","0.00541732645221806","35524","2.66347325570497","0.00773734376217765"
"Psuedo","Low RSA","speed:lrswitch:fingerswitch","-0.000223790259847519","0.000709297730870756","35524","-0.315509623261852","0.752376599001708"
"Psuedo","Low RSA","speed:lrswitch:lowrha","-0.000320377152105687","0.000346123202475773","35524","-0.925615936215983","0.354651896343823"
"Psuedo","Low RSA","speed:fingerswitch:lowrha","0.000187184822954968","0.00041358129172241","35524","0.452594995715144","0.65084316676455"
"Psuedo","Low RSA","lrswitch:fingerswitch:lowrha","0.00675031799856247","0.00329741829531918","35524","2.04715246717252","0.0406504572865799"
"Psuedo","Low RSA","speed:lrswitch:fingerswitch:lowrha","-2.85053821082026e-06","0.000253891428283092","35524","-0.0112273905034788","0.991042089704846"
"Psuedo","Average RSA","(Intercept)","4.22740910897136","0.0608428772099464","35524","69.4807560527443","0"
"Psuedo","Average RSA","letterfreq","0.0451344615679491","0.00747858442415362","35524","6.03516106900901","1.6037399857504e-09"
"Psuedo","Average RSA","speed","0.0031825311064679","0.00297697725218521","601","1.06904784177702","0.285477292431931"
