date,time,code,partno,rating,hand,speed,error,trial,trialcode,realfake,lrswitch,fingerswitch,letterfreq,length,rha
20413,10:02,516,204130.4181,4,left,31,96,5yane,yane,fake,3,3,7.398,4,0
20413,10:02,516,204130.4181,7,left,31,96,13army,army,real,1,2,4.6335,4,0
20413,10:02,516,204130.4181,5,left,31,96,9beeg,beeg,fake,0,2,7.22775,4,-4
20413,10:02,516,204130.4181,3,left,31,96,23lion,lion,real,0,3,6.31175,4,4
20413,10:02,516,204130.4181,3,left,31,96,8taxe,taxe,fake,0,3,7.51875,4,-4
20413,10:02,516,204130.4181,2,left,31,96,14pest,pest,real,1,3,7.5035,4,-2
20413,10:02,516,204130.4181,4,left,31,96,18sour,sour,real,2,3,5.64475,4,0
20413,10:02,516,204130.4181,4,left,31,96,5jame,jame,fake,3,3,5.857,4,0
20413,10:02,516,204130.4181,2,left,31,96,19ugly,ugly,real,2,3,2.693,4,2
20413,10:02,516,204130.4181,9,left,31,96,23mom,mom,real,0,2,4.106333333,3,3
20413,10:02,516,204130.4181,8,left,31,96,16lake,lake,real,3,3,6.4165,4,0
20413,10:02,516,204130.4181,1,left,31,96,21bees,bees,real,0,2,8.30575,4,-4
20413,10:02,516,204130.4181,4,left,31,96,22nip,nip,real,0,2,5.214666667,3,3
20413,10:02,516,204130.4181,5,left,31,96,10nop,nop,fake,0,2,5.395,3,3
20413,10:02,516,204130.4181,8,left,31,96,18blue,blue,real,2,3,5.24425,4,0
20413,10:02,516,204130.4181,4,left,31,96,19cold,cold,real,2,2,4.64175,4,0
20413,10:02,516,204130.4181,1,left,31,96,13lice,lice,real,1,2,6.61875,4,0
20413,10:02,516,204130.4181,5,left,31,96,8dax,dax,fake,0,2,4.19,3,-3
20413,10:02,516,204130.4181,5,left,31,96,10plin,plin,fake,0,3,4.91725,4,4
20413,10:02,516,204130.4181,3,left,31,96,23lump,lump,real,0,2,2.7795,4,4
20413,10:02,516,204130.4181,9,left,31,96,18win,win,real,1,2,5.358333333,3,1
20413,10:02,516,204130.4181,4,left,31,96,2jabe,jabe,fake,1,3,5.6285,4,-2
20413,10:02,516,204130.4181,5,left,31,96,1yofe,yofe,fake,1,3,6.10275,4,0
20413,10:02,516,204130.4181,4,left,31,96,7soob,soob,fake,2,2,5.70825,4,0
20413,10:02,516,204130.4181,3,left,31,96,16slap,slap,real,3,3,5.112,4,0
20413,10:02,516,204130.4181,5,left,31,96,1nobe,nobe,fake,1,3,7.1125,4,0
20413,10:02,516,204130.4181,6,left,31,96,15frog,frog,real,2,2,4.43425,4,-2
20413,10:02,516,204130.4181,6,left,31,96,12more,more,real,1,3,7.1505,4,0
20413,10:02,516,204130.4181,4,left,31,96,13hide,hide,real,1,2,7.50375,4,0
20413,10:02,516,204130.4181,5,left,31,96,4peka,peka,fake,3,3,5.8925,4,0
20413,10:02,516,204130.4181,4,left,31,96,20scar,scar,real,0,3,5.81575,4,-4
20413,10:02,516,204130.4181,4,left,31,96,16cow,cow,real,2,2,4.216333333,3,-1
20413,10:02,516,204130.4181,4,left,31,96,4pems,pems,fake,3,3,5.841,4,0
20413,10:02,516,204130.4181,4,left,31,96,3yeet,yeet,fake,1,2,9.1085,4,-2
20413,10:02,516,204130.4181,2,left,31,96,20sad,sad,real,0,2,6.249,3,-3
20413,10:02,516,204130.4181,8,left,31,96,17wish,wish,real,3,3,5.43675,4,0
20413,10:02,516,204130.4181,3,left,31,96,11lik,lik,fake,0,1,3.921,3,3
20413,10:02,516,204130.4181,4,left,31,96,1jobe,jobe,fake,1,3,5.4635,4,0
20413,10:02,516,204130.4181,6,left,31,96,7voom,voom,fake,1,2,4.5995,4,2
20413,10:02,516,204130.4181,5,left,31,96,9tage,tage,fake,0,3,7.985,4,-4
20413,10:02,516,204130.4181,4,left,31,96,2yate,yate,fake,1,3,7.97475,4,-2
20413,10:02,516,204130.4181,6,left,31,96,11yoop,yoop,fake,0,2,4.72925,4,4
20413,10:02,516,204130.4181,4,left,31,96,5tutk,tutk,fake,3,3,5.4105,4,0
20413,10:02,516,204130.4181,8,left,31,96,12life,life,real,1,3,6.48025,4,0
20413,10:02,516,204130.4181,4,left,31,96,4woem,woem,fake,3,3,6.24375,4,0
20413,10:02,516,204130.4181,9,left,31,96,19silk,silk,real,1,3,4.5225,4,2
20413,10:02,516,204130.4181,5,left,31,96,6slin,slin,fake,1,3,6.01675,4,2
20413,10:02,516,204130.4181,4,left,31,96,17hay,hay,real,2,2,5.411666667,3,1
20413,10:02,516,204130.4181,6,left,31,96,3tove,tove,fake,2,3,7.56075,4,-2
20413,10:02,516,204130.4181,4,left,31,96,6voke,voke,fake,2,3,5.48975,4,0
20413,10:02,516,204130.4181,6,left,31,96,23pill,pill,real,0,2,4.23625,4,4
20413,10:02,516,204130.4181,5,left,31,96,1nofe,nofe,fake,1,3,7.2965,4,0
20413,10:02,516,204130.4181,4,left,31,96,24jufe,jufe,fake,1,2,4.46025,4,0
20413,10:02,516,204130.4181,6,left,31,96,17girl,girl,real,3,3,4.74825,4,0
20413,10:02,516,204130.4181,5,left,31,96,3neeb,neeb,fake,1,2,8.41125,4,-2
20413,10:02,516,204130.4181,5,left,31,96,7foof,foof,fake,2,2,4.8675,4,0
20413,10:02,516,204130.4181,6,left,31,96,6flin,flin,fake,1,3,4.992,4,2
20413,10:02,516,204130.4181,4,left,31,96,3meef,meef,fake,1,2,7.5095,4,-2
20413,10:02,516,204130.4181,8,left,31,96,11lool,lool,fake,0,0,5.766,4,4
20413,10:02,516,204130.4181,1,left,31,96,15wasp,wasp,real,1,3,4.69575,4,-2
20413,10:02,516,204130.4181,2,left,31,96,19tomb,tomb,real,2,3,5.11525,4,0
20413,10:02,516,204130.4181,5,left,31,96,2mafe,mafe,fake,1,3,6.37575,4,-2
20413,10:02,516,204130.4181,3,left,31,96,18snob,snob,real,2,3,5.51875,4,0
20413,10:02,516,204130.4181,5,left,31,96,7voop,voop,fake,1,2,4.48025,4,2
20413,10:02,516,204130.4181,4,left,31,96,10pluk,pluk,fake,0,3,2.371,4,4
20413,10:02,516,204130.4181,6,left,31,96,14obey,obey,real,2,3,5.91875,4,0
20413,10:02,516,204130.4181,3,left,31,96,8wac,wac,fake,0,2,4.436333333,3,-3
20413,10:02,516,204130.4181,7,left,31,96,15bath,bath,real,1,3,6.20225,4,-2
20413,10:02,516,204130.4181,4,left,31,96,3leel,leel,fake,2,2,8.3635,4,0
20413,10:02,516,204130.4181,5,left,31,96,24aqil,aqil,fake,1,2,4.81325,4,0
20413,10:02,516,204130.4181,5,left,31,96,11nilo,nilo,fake,0,2,6.31175,4,4
20413,10:02,516,204130.4181,6,left,31,96,13nude,nude,real,1,1,6.6155,4,0
20413,10:02,516,204130.4181,4,left,31,96,7soog,soog,fake,2,2,5.839,4,0
20413,10:02,516,204130.4181,7,left,31,96,15cute,cute,real,2,3,6.8245,4,-2
20413,10:02,516,204130.4181,7,left,31,96,20eat,eat,real,0,2,9.975,3,-3
20413,10:02,516,204130.4181,4,left,31,96,9zabe,zabe,fake,0,2,5.60875,4,-4
20413,10:02,516,204130.4181,6,left,31,96,15baby,baby,real,1,3,3.28125,4,-2
20413,10:02,516,204130.4181,5,left,31,96,9zafe,zafe,fake,0,2,5.79275,4,-4
20413,10:02,516,204130.4181,6,left,31,96,17bowl,bowl,real,3,3,3.846,4,0
20413,10:02,516,204130.4181,6,left,31,96,22pom,pom,real,0,2,3.947333333,3,3
20413,10:02,516,204130.4181,5,left,31,96,11joom,joom,fake,0,2,4.39325,4,4
20413,10:02,516,204130.4181,5,left,31,96,24kige,kige,fake,1,2,5.61375,4,0
20413,10:02,516,204130.4181,5,left,31,96,2kabe,kabe,fake,1,3,5.78325,4,-2
20413,10:02,516,204130.4181,7,left,31,96,20seat,seat,real,0,3,9.063,4,-4
20413,10:02,516,204130.4181,6,left,31,96,2vape,vape,fake,2,3,5.944,4,-2
20413,10:02,516,204130.4181,4,left,31,96,6dlip,dlip,fake,1,3,4.29325,4,2
20413,10:02,516,204130.4181,2,left,31,96,21fear,fear,real,0,3,7.271,4,-4
20413,10:02,516,204130.4181,8,left,31,96,18song,song,real,2,3,5.6495,4,0
20413,10:02,516,204130.4181,5,left,31,96,22lip,lip,real,0,2,4.306666667,3,3
